NAME,County,State,variable,estimate,Sex,Age,HI_Coverage
"Adams County, Illinois",Adams, Illinois,B27001_041,3436,Female,26 to 34 years,Yes
"Adams County, Illinois",Adams, Illinois,B27001_042,219,Female,26 to 34 years,No
"Adams County, Illinois",Adams, Illinois,B27001_044,3450,Female,35 to 44 years,Yes
"Adams County, Illinois",Adams, Illinois,B27001_045,244,Female,35 to 44 years,No
"Adams County, Illinois",Adams, Illinois,B27001_047,4096,Female,45 to 54 years,Yes
"Adams County, Illinois",Adams, Illinois,B27001_048,210,Female,45 to 54 years,No
"Adams County, Illinois",Adams, Illinois,B27001_050,4390,Female,55 to 64 years,Yes
"Adams County, Illinois",Adams, Illinois,B27001_051,181,Female,55 to 64 years,No
"Adams County, Illinois",Adams, Illinois,B27001_053,3483,Female,65 to 74 years,Yes
"Adams County, Illinois",Adams, Illinois,B27001_054,7,Female,65 to 74 years,No
"Adams County, Illinois",Adams, Illinois,B27001_056,3121,Female,75 years and over,Yes
"Adams County, Illinois",Adams, Illinois,B27001_057,0,Female,75 years and over,No
"Alexander County, Illinois",Alexander, Illinois,B27001_004,304,Male,Under 6 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27001_005,16,Male,Under 6 years,No
"Alexander County, Illinois",Alexander, Illinois,B27001_007,489,Male,6 to 18 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27001_008,2,Male,6 to 18 years,No
"Alexander County, Illinois",Alexander, Illinois,B27001_010,175,Male,19 to 25 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27001_011,39,Male,19 to 25 years,No
"Alexander County, Illinois",Alexander, Illinois,B27001_013,271,Male,26 to 34 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27001_014,55,Male,26 to 34 years,No
"Alexander County, Illinois",Alexander, Illinois,B27001_016,245,Male,35 to 44 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27001_017,50,Male,35 to 44 years,No
"Alexander County, Illinois",Alexander, Illinois,B27001_019,292,Male,45 to 54 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27001_020,69,Male,45 to 54 years,No
"Alexander County, Illinois",Alexander, Illinois,B27001_022,455,Male,55 to 64 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27001_023,51,Male,55 to 64 years,No
"Alexander County, Illinois",Alexander, Illinois,B27001_025,370,Male,65 to 74 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27001_026,0,Male,65 to 74 years,No
"Alexander County, Illinois",Alexander, Illinois,B27001_028,190,Male,75 years and over,Yes
"Alexander County, Illinois",Alexander, Illinois,B27001_029,0,Male,75 years and over,No
"Alexander County, Illinois",Alexander, Illinois,B27001_032,270,Female,Under 6 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27001_033,0,Female,Under 6 years,No
"Alexander County, Illinois",Alexander, Illinois,B27001_035,595,Female,6 to 18 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27001_036,0,Female,6 to 18 years,No
"Alexander County, Illinois",Alexander, Illinois,B27001_038,250,Female,19 to 25 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27001_039,8,Female,19 to 25 years,No
"Alexander County, Illinois",Alexander, Illinois,B27001_041,250,Female,26 to 34 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27001_042,1,Female,26 to 34 years,No
"Alexander County, Illinois",Alexander, Illinois,B27001_044,339,Female,35 to 44 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27001_045,26,Female,35 to 44 years,No
"Alexander County, Illinois",Alexander, Illinois,B27001_047,368,Female,45 to 54 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27001_048,66,Female,45 to 54 years,No
"Alexander County, Illinois",Alexander, Illinois,B27001_050,454,Female,55 to 64 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27001_051,56,Female,55 to 64 years,No
"Alexander County, Illinois",Alexander, Illinois,B27001_053,438,Female,65 to 74 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27001_054,0,Female,65 to 74 years,No
"Alexander County, Illinois",Alexander, Illinois,B27001_056,275,Female,75 years and over,Yes
"Alexander County, Illinois",Alexander, Illinois,B27001_057,0,Female,75 years and over,No
"Bond County, Illinois",Bond, Illinois,B27001_004,475,Male,Under 6 years,Yes
"Bond County, Illinois",Bond, Illinois,B27001_005,0,Male,Under 6 years,No
"Bond County, Illinois",Bond, Illinois,B27001_007,1246,Male,6 to 18 years,Yes
"Bond County, Illinois",Bond, Illinois,B27001_008,94,Male,6 to 18 years,No
"Bond County, Illinois",Bond, Illinois,B27001_010,613,Male,19 to 25 years,Yes
"Bond County, Illinois",Bond, Illinois,B27001_011,33,Male,19 to 25 years,No
"Bond County, Illinois",Bond, Illinois,B27001_013,555,Male,26 to 34 years,Yes
"Bond County, Illinois",Bond, Illinois,B27001_014,185,Male,26 to 34 years,No
"Bond County, Illinois",Bond, Illinois,B27001_016,795,Male,35 to 44 years,Yes
"Bond County, Illinois",Bond, Illinois,B27001_017,80,Male,35 to 44 years,No
"Bond County, Illinois",Bond, Illinois,B27001_019,924,Male,45 to 54 years,Yes
"Bond County, Illinois",Bond, Illinois,B27001_020,109,Male,45 to 54 years,No
"Bond County, Illinois",Bond, Illinois,B27001_022,1063,Male,55 to 64 years,Yes
"Bond County, Illinois",Bond, Illinois,B27001_023,65,Male,55 to 64 years,No
"Bond County, Illinois",Bond, Illinois,B27001_025,762,Male,65 to 74 years,Yes
"Bond County, Illinois",Bond, Illinois,B27001_026,0,Male,65 to 74 years,No
"Bond County, Illinois",Bond, Illinois,B27001_028,505,Male,75 years and over,Yes
"Bond County, Illinois",Bond, Illinois,B27001_029,0,Male,75 years and over,No
"Bond County, Illinois",Bond, Illinois,B27001_032,379,Female,Under 6 years,Yes
"Bond County, Illinois",Bond, Illinois,B27001_033,21,Female,Under 6 years,No
"Bond County, Illinois",Bond, Illinois,B27001_035,1155,Female,6 to 18 years,Yes
"Bond County, Illinois",Bond, Illinois,B27001_036,95,Female,6 to 18 years,No
"Bond County, Illinois",Bond, Illinois,B27001_038,810,Female,19 to 25 years,Yes
"Bond County, Illinois",Bond, Illinois,B27001_039,33,Female,19 to 25 years,No
"Bond County, Illinois",Bond, Illinois,B27001_041,730,Female,26 to 34 years,Yes
"Bond County, Illinois",Bond, Illinois,B27001_042,47,Female,26 to 34 years,No
"Bond County, Illinois",Bond, Illinois,B27001_044,835,Female,35 to 44 years,Yes
"Bond County, Illinois",Bond, Illinois,B27001_045,55,Female,35 to 44 years,No
"Bond County, Illinois",Bond, Illinois,B27001_047,1030,Female,45 to 54 years,Yes
"Bond County, Illinois",Bond, Illinois,B27001_048,62,Female,45 to 54 years,No
"Bond County, Illinois",Bond, Illinois,B27001_050,1162,Female,55 to 64 years,Yes
"Bond County, Illinois",Bond, Illinois,B27001_051,51,Female,55 to 64 years,No
"Bond County, Illinois",Bond, Illinois,B27001_053,772,Female,65 to 74 years,Yes
"Bond County, Illinois",Bond, Illinois,B27001_054,21,Female,65 to 74 years,No
"Bond County, Illinois",Bond, Illinois,B27001_056,713,Female,75 years and over,Yes
"Bond County, Illinois",Bond, Illinois,B27001_057,0,Female,75 years and over,No
"Boone County, Illinois",Boone, Illinois,B27001_004,1989,Male,Under 6 years,Yes
"Boone County, Illinois",Boone, Illinois,B27001_005,2,Male,Under 6 years,No
"Boone County, Illinois",Boone, Illinois,B27001_007,5487,Male,6 to 18 years,Yes
"Boone County, Illinois",Boone, Illinois,B27001_008,147,Male,6 to 18 years,No
"Boone County, Illinois",Boone, Illinois,B27001_010,1873,Male,19 to 25 years,Yes
"Boone County, Illinois",Boone, Illinois,B27001_011,246,Male,19 to 25 years,No
"Boone County, Illinois",Boone, Illinois,B27001_013,2351,Male,26 to 34 years,Yes
"Boone County, Illinois",Boone, Illinois,B27001_014,397,Male,26 to 34 years,No
"Boone County, Illinois",Boone, Illinois,B27001_016,3073,Male,35 to 44 years,Yes
"Boone County, Illinois",Boone, Illinois,B27001_017,262,Male,35 to 44 years,No
"Boone County, Illinois",Boone, Illinois,B27001_019,3677,Male,45 to 54 years,Yes
"Boone County, Illinois",Boone, Illinois,B27001_020,203,Male,45 to 54 years,No
"Boone County, Illinois",Boone, Illinois,B27001_022,3104,Male,55 to 64 years,Yes
"Boone County, Illinois",Boone, Illinois,B27001_023,302,Male,55 to 64 years,No
"Boone County, Illinois",Boone, Illinois,B27001_025,2199,Male,65 to 74 years,Yes
"Boone County, Illinois",Boone, Illinois,B27001_026,39,Male,65 to 74 years,No
"Boone County, Illinois",Boone, Illinois,B27001_028,1287,Male,75 years and over,Yes
"Boone County, Illinois",Boone, Illinois,B27001_029,0,Male,75 years and over,No
"Boone County, Illinois",Boone, Illinois,B27001_032,1821,Female,Under 6 years,Yes
"Boone County, Illinois",Boone, Illinois,B27001_033,2,Female,Under 6 years,No
"Boone County, Illinois",Boone, Illinois,B27001_035,4901,Female,6 to 18 years,Yes
"Boone County, Illinois",Boone, Illinois,B27001_036,253,Female,6 to 18 years,No
"Boone County, Illinois",Boone, Illinois,B27001_038,2091,Female,19 to 25 years,Yes
"Boone County, Illinois",Boone, Illinois,B27001_039,193,Female,19 to 25 years,No
"Boone County, Illinois",Boone, Illinois,B27001_041,2272,Female,26 to 34 years,Yes
"Boone County, Illinois",Boone, Illinois,B27001_042,271,Female,26 to 34 years,No
"Boone County, Illinois",Boone, Illinois,B27001_044,3111,Female,35 to 44 years,Yes
"Boone County, Illinois",Boone, Illinois,B27001_045,252,Female,35 to 44 years,No
"Boone County, Illinois",Boone, Illinois,B27001_047,3614,Female,45 to 54 years,Yes
"Boone County, Illinois",Boone, Illinois,B27001_048,412,Female,45 to 54 years,No
"Boone County, Illinois",Boone, Illinois,B27001_050,2870,Female,55 to 64 years,Yes
"Boone County, Illinois",Boone, Illinois,B27001_051,355,Female,55 to 64 years,No
"Boone County, Illinois",Boone, Illinois,B27001_053,2549,Female,65 to 74 years,Yes
"Boone County, Illinois",Boone, Illinois,B27001_054,25,Female,65 to 74 years,No
"Boone County, Illinois",Boone, Illinois,B27001_056,1594,Female,75 years and over,Yes
"Boone County, Illinois",Boone, Illinois,B27001_057,0,Female,75 years and over,No
"Brown County, Illinois",Brown, Illinois,B27001_004,175,Male,Under 6 years,Yes
"Brown County, Illinois",Brown, Illinois,B27001_005,12,Male,Under 6 years,No
"Brown County, Illinois",Brown, Illinois,B27001_007,305,Male,6 to 18 years,Yes
"Brown County, Illinois",Brown, Illinois,B27001_008,21,Male,6 to 18 years,No
"Brown County, Illinois",Brown, Illinois,B27001_010,219,Male,19 to 25 years,Yes
"Brown County, Illinois",Brown, Illinois,B27001_011,9,Male,19 to 25 years,No
"Brown County, Illinois",Brown, Illinois,B27001_013,280,Male,26 to 34 years,Yes
"Brown County, Illinois",Brown, Illinois,B27001_014,19,Male,26 to 34 years,No
"Brown County, Illinois",Brown, Illinois,B27001_016,247,Male,35 to 44 years,Yes
"Brown County, Illinois",Brown, Illinois,B27001_017,40,Male,35 to 44 years,No
"Brown County, Illinois",Brown, Illinois,B27001_019,328,Male,45 to 54 years,Yes
"Brown County, Illinois",Brown, Illinois,B27001_020,37,Male,45 to 54 years,No
"Brown County, Illinois",Brown, Illinois,B27001_022,296,Male,55 to 64 years,Yes
"Brown County, Illinois",Brown, Illinois,B27001_023,40,Male,55 to 64 years,No
"Brown County, Illinois",Brown, Illinois,B27001_025,219,Male,65 to 74 years,Yes
"Brown County, Illinois",Brown, Illinois,B27001_026,0,Male,65 to 74 years,No
"Brown County, Illinois",Brown, Illinois,B27001_028,166,Male,75 years and over,Yes
"Brown County, Illinois",Brown, Illinois,B27001_029,0,Male,75 years and over,No
"Brown County, Illinois",Brown, Illinois,B27001_032,121,Female,Under 6 years,Yes
"Brown County, Illinois",Brown, Illinois,B27001_033,3,Female,Under 6 years,No
"Brown County, Illinois",Brown, Illinois,B27001_035,427,Female,6 to 18 years,Yes
"Brown County, Illinois",Brown, Illinois,B27001_036,14,Female,6 to 18 years,No
"Brown County, Illinois",Brown, Illinois,B27001_038,124,Female,19 to 25 years,Yes
"Brown County, Illinois",Brown, Illinois,B27001_039,14,Female,19 to 25 years,No
"Brown County, Illinois",Brown, Illinois,B27001_041,272,Female,26 to 34 years,Yes
"Brown County, Illinois",Brown, Illinois,B27001_042,17,Female,26 to 34 years,No
"Brown County, Illinois",Brown, Illinois,B27001_044,290,Female,35 to 44 years,Yes
"Brown County, Illinois",Brown, Illinois,B27001_045,15,Female,35 to 44 years,No
"Brown County, Illinois",Brown, Illinois,B27001_047,280,Female,45 to 54 years,Yes
"Brown County, Illinois",Brown, Illinois,B27001_048,26,Female,45 to 54 years,No
"Brown County, Illinois",Brown, Illinois,B27001_050,313,Female,55 to 64 years,Yes
"Brown County, Illinois",Brown, Illinois,B27001_051,16,Female,55 to 64 years,No
"Brown County, Illinois",Brown, Illinois,B27001_053,263,Female,65 to 74 years,Yes
"Brown County, Illinois",Brown, Illinois,B27001_054,0,Female,65 to 74 years,No
"Brown County, Illinois",Brown, Illinois,B27001_056,196,Female,75 years and over,Yes
"Brown County, Illinois",Brown, Illinois,B27001_057,0,Female,75 years and over,No
"Bureau County, Illinois",Bureau, Illinois,B27001_004,1082,Male,Under 6 years,Yes
"Bureau County, Illinois",Bureau, Illinois,B27001_005,18,Male,Under 6 years,No
"Bureau County, Illinois",Bureau, Illinois,B27001_007,2703,Male,6 to 18 years,Yes
"Bureau County, Illinois",Bureau, Illinois,B27001_008,73,Male,6 to 18 years,No
"Bureau County, Illinois",Bureau, Illinois,B27001_010,1160,Male,19 to 25 years,Yes
"Bureau County, Illinois",Bureau, Illinois,B27001_011,142,Male,19 to 25 years,No
"Bureau County, Illinois",Bureau, Illinois,B27001_013,1372,Male,26 to 34 years,Yes
"Bureau County, Illinois",Bureau, Illinois,B27001_014,231,Male,26 to 34 years,No
"Bureau County, Illinois",Bureau, Illinois,B27001_016,1705,Male,35 to 44 years,Yes
"Bureau County, Illinois",Bureau, Illinois,B27001_017,128,Male,35 to 44 years,No
"Bureau County, Illinois",Bureau, Illinois,B27001_019,2067,Male,45 to 54 years,Yes
"Bureau County, Illinois",Bureau, Illinois,B27001_020,173,Male,45 to 54 years,No
"Bureau County, Illinois",Bureau, Illinois,B27001_022,2276,Male,55 to 64 years,Yes
"Bureau County, Illinois",Bureau, Illinois,B27001_023,107,Male,55 to 64 years,No
"Bureau County, Illinois",Bureau, Illinois,B27001_025,1788,Male,65 to 74 years,Yes
"Bureau County, Illinois",Bureau, Illinois,B27001_026,5,Male,65 to 74 years,No
"Bureau County, Illinois",Bureau, Illinois,B27001_028,1260,Male,75 years and over,Yes
"Bureau County, Illinois",Bureau, Illinois,B27001_029,0,Male,75 years and over,No
"Bureau County, Illinois",Bureau, Illinois,B27001_032,955,Female,Under 6 years,Yes
"Bureau County, Illinois",Bureau, Illinois,B27001_033,9,Female,Under 6 years,No
"Bureau County, Illinois",Bureau, Illinois,B27001_035,2649,Female,6 to 18 years,Yes
"Bureau County, Illinois",Bureau, Illinois,B27001_036,96,Female,6 to 18 years,No
"Bureau County, Illinois",Bureau, Illinois,B27001_038,1079,Female,19 to 25 years,Yes
"Bureau County, Illinois",Bureau, Illinois,B27001_039,165,Female,19 to 25 years,No
"Bureau County, Illinois",Bureau, Illinois,B27001_041,1469,Female,26 to 34 years,Yes
"Bureau County, Illinois",Bureau, Illinois,B27001_042,102,Female,26 to 34 years,No
"Bureau County, Illinois",Bureau, Illinois,B27001_044,1738,Female,35 to 44 years,Yes
"Bureau County, Illinois",Bureau, Illinois,B27001_045,122,Female,35 to 44 years,No
"Bureau County, Illinois",Bureau, Illinois,B27001_047,2052,Female,45 to 54 years,Yes
"Bureau County, Illinois",Bureau, Illinois,B27001_048,147,Female,45 to 54 years,No
"Bureau County, Illinois",Bureau, Illinois,B27001_050,2392,Female,55 to 64 years,Yes
"Bureau County, Illinois",Bureau, Illinois,B27001_051,74,Female,55 to 64 years,No
"Bureau County, Illinois",Bureau, Illinois,B27001_053,1895,Female,65 to 74 years,Yes
"Bureau County, Illinois",Bureau, Illinois,B27001_054,28,Female,65 to 74 years,No
"Bureau County, Illinois",Bureau, Illinois,B27001_056,1748,Female,75 years and over,Yes
"Bureau County, Illinois",Bureau, Illinois,B27001_057,0,Female,75 years and over,No
"Calhoun County, Illinois",Calhoun, Illinois,B27001_004,137,Male,Under 6 years,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27001_005,0,Male,Under 6 years,No
"Calhoun County, Illinois",Calhoun, Illinois,B27001_007,410,Male,6 to 18 years,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27001_008,3,Male,6 to 18 years,No
"Calhoun County, Illinois",Calhoun, Illinois,B27001_010,211,Male,19 to 25 years,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27001_011,1,Male,19 to 25 years,No
"Calhoun County, Illinois",Calhoun, Illinois,B27001_013,156,Male,26 to 34 years,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27001_014,14,Male,26 to 34 years,No
"Calhoun County, Illinois",Calhoun, Illinois,B27001_016,234,Male,35 to 44 years,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27001_017,20,Male,35 to 44 years,No
"Calhoun County, Illinois",Calhoun, Illinois,B27001_019,327,Male,45 to 54 years,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27001_020,12,Male,45 to 54 years,No
"Calhoun County, Illinois",Calhoun, Illinois,B27001_022,345,Male,55 to 64 years,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27001_023,44,Male,55 to 64 years,No
"Calhoun County, Illinois",Calhoun, Illinois,B27001_025,278,Male,65 to 74 years,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27001_026,0,Male,65 to 74 years,No
"Calhoun County, Illinois",Calhoun, Illinois,B27001_028,204,Male,75 years and over,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27001_029,0,Male,75 years and over,No
"Calhoun County, Illinois",Calhoun, Illinois,B27001_032,140,Female,Under 6 years,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27001_033,0,Female,Under 6 years,No
"Calhoun County, Illinois",Calhoun, Illinois,B27001_035,427,Female,6 to 18 years,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27001_036,1,Female,6 to 18 years,No
"Calhoun County, Illinois",Calhoun, Illinois,B27001_038,108,Female,19 to 25 years,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27001_039,6,Female,19 to 25 years,No
"Calhoun County, Illinois",Calhoun, Illinois,B27001_041,189,Female,26 to 34 years,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27001_042,6,Female,26 to 34 years,No
"Calhoun County, Illinois",Calhoun, Illinois,B27001_044,253,Female,35 to 44 years,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27001_045,0,Female,35 to 44 years,No
"Calhoun County, Illinois",Calhoun, Illinois,B27001_047,319,Female,45 to 54 years,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27001_048,16,Female,45 to 54 years,No
"Calhoun County, Illinois",Calhoun, Illinois,B27001_050,330,Female,55 to 64 years,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27001_051,14,Female,55 to 64 years,No
"Calhoun County, Illinois",Calhoun, Illinois,B27001_053,293,Female,65 to 74 years,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27001_054,0,Female,65 to 74 years,No
"Calhoun County, Illinois",Calhoun, Illinois,B27001_056,279,Female,75 years and over,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27001_057,0,Female,75 years and over,No
"Carroll County, Illinois",Carroll, Illinois,B27001_004,436,Male,Under 6 years,Yes
"Carroll County, Illinois",Carroll, Illinois,B27001_005,0,Male,Under 6 years,No
"Carroll County, Illinois",Carroll, Illinois,B27001_007,1041,Male,6 to 18 years,Yes
"Carroll County, Illinois",Carroll, Illinois,B27001_008,15,Male,6 to 18 years,No
"Carroll County, Illinois",Carroll, Illinois,B27001_010,484,Male,19 to 25 years,Yes
"Carroll County, Illinois",Carroll, Illinois,B27001_011,85,Male,19 to 25 years,No
"Carroll County, Illinois",Carroll, Illinois,B27001_013,558,Male,26 to 34 years,Yes
"Carroll County, Illinois",Carroll, Illinois,B27001_014,94,Male,26 to 34 years,No
"Carroll County, Illinois",Carroll, Illinois,B27001_016,678,Male,35 to 44 years,Yes
"Carroll County, Illinois",Carroll, Illinois,B27001_017,75,Male,35 to 44 years,No
"Carroll County, Illinois",Carroll, Illinois,B27001_019,778,Male,45 to 54 years,Yes
"Carroll County, Illinois",Carroll, Illinois,B27001_020,106,Male,45 to 54 years,No
"Carroll County, Illinois",Carroll, Illinois,B27001_022,1085,Male,55 to 64 years,Yes
"Carroll County, Illinois",Carroll, Illinois,B27001_023,51,Male,55 to 64 years,No
"Carroll County, Illinois",Carroll, Illinois,B27001_025,960,Male,65 to 74 years,Yes
"Carroll County, Illinois",Carroll, Illinois,B27001_026,8,Male,65 to 74 years,No
"Carroll County, Illinois",Carroll, Illinois,B27001_028,673,Male,75 years and over,Yes
"Carroll County, Illinois",Carroll, Illinois,B27001_029,0,Male,75 years and over,No
"Carroll County, Illinois",Carroll, Illinois,B27001_032,453,Female,Under 6 years,Yes
"Carroll County, Illinois",Carroll, Illinois,B27001_033,14,Female,Under 6 years,No
"Carroll County, Illinois",Carroll, Illinois,B27001_035,900,Female,6 to 18 years,Yes
"Carroll County, Illinois",Carroll, Illinois,B27001_036,63,Female,6 to 18 years,No
"Carroll County, Illinois",Carroll, Illinois,B27001_038,417,Female,19 to 25 years,Yes
"Carroll County, Illinois",Carroll, Illinois,B27001_039,97,Female,19 to 25 years,No
"Carroll County, Illinois",Carroll, Illinois,B27001_041,614,Female,26 to 34 years,Yes
"Carroll County, Illinois",Carroll, Illinois,B27001_042,42,Female,26 to 34 years,No
"Carroll County, Illinois",Carroll, Illinois,B27001_044,634,Female,35 to 44 years,Yes
"Carroll County, Illinois",Carroll, Illinois,B27001_045,106,Female,35 to 44 years,No
"Carroll County, Illinois",Carroll, Illinois,B27001_047,896,Female,45 to 54 years,Yes
"Carroll County, Illinois",Carroll, Illinois,B27001_048,21,Female,45 to 54 years,No
"Carroll County, Illinois",Carroll, Illinois,B27001_050,1103,Female,55 to 64 years,Yes
"Carroll County, Illinois",Carroll, Illinois,B27001_051,101,Female,55 to 64 years,No
"Carroll County, Illinois",Carroll, Illinois,B27001_053,994,Female,65 to 74 years,Yes
"Carroll County, Illinois",Carroll, Illinois,B27001_054,0,Female,65 to 74 years,No
"Carroll County, Illinois",Carroll, Illinois,B27001_056,794,Female,75 years and over,Yes
"Carroll County, Illinois",Carroll, Illinois,B27001_057,0,Female,75 years and over,No
"Cass County, Illinois",Cass, Illinois,B27001_004,576,Male,Under 6 years,Yes
"Cass County, Illinois",Cass, Illinois,B27001_005,21,Male,Under 6 years,No
"Cass County, Illinois",Cass, Illinois,B27001_007,1021,Male,6 to 18 years,Yes
"Cass County, Illinois",Cass, Illinois,B27001_008,72,Male,6 to 18 years,No
"Cass County, Illinois",Cass, Illinois,B27001_010,336,Male,19 to 25 years,Yes
"Cass County, Illinois",Cass, Illinois,B27001_011,108,Male,19 to 25 years,No
"Cass County, Illinois",Cass, Illinois,B27001_013,710,Male,26 to 34 years,Yes
"Cass County, Illinois",Cass, Illinois,B27001_014,113,Male,26 to 34 years,No
"Cass County, Illinois",Cass, Illinois,B27001_016,666,Male,35 to 44 years,Yes
"Cass County, Illinois",Cass, Illinois,B27001_017,117,Male,35 to 44 years,No
"Cass County, Illinois",Cass, Illinois,B27001_019,756,Male,45 to 54 years,Yes
"Cass County, Illinois",Cass, Illinois,B27001_020,71,Male,45 to 54 years,No
"Cass County, Illinois",Cass, Illinois,B27001_022,807,Male,55 to 64 years,Yes
"Cass County, Illinois",Cass, Illinois,B27001_023,39,Male,55 to 64 years,No
"Cass County, Illinois",Cass, Illinois,B27001_025,526,Male,65 to 74 years,Yes
"Cass County, Illinois",Cass, Illinois,B27001_026,0,Male,65 to 74 years,No
"Cass County, Illinois",Cass, Illinois,B27001_028,371,Male,75 years and over,Yes
"Cass County, Illinois",Cass, Illinois,B27001_029,0,Male,75 years and over,No
"Cass County, Illinois",Cass, Illinois,B27001_032,560,Female,Under 6 years,Yes
"Cass County, Illinois",Cass, Illinois,B27001_033,0,Female,Under 6 years,No
"Cass County, Illinois",Cass, Illinois,B27001_035,923,Female,6 to 18 years,Yes
"Cass County, Illinois",Cass, Illinois,B27001_036,26,Female,6 to 18 years,No
"Cass County, Illinois",Cass, Illinois,B27001_038,406,Female,19 to 25 years,Yes
"Cass County, Illinois",Cass, Illinois,B27001_039,59,Female,19 to 25 years,No
"Cass County, Illinois",Cass, Illinois,B27001_041,634,Female,26 to 34 years,Yes
"Cass County, Illinois",Cass, Illinois,B27001_042,48,Female,26 to 34 years,No
"Cass County, Illinois",Cass, Illinois,B27001_044,698,Female,35 to 44 years,Yes
"Cass County, Illinois",Cass, Illinois,B27001_045,78,Female,35 to 44 years,No
"Cass County, Illinois",Cass, Illinois,B27001_047,734,Female,45 to 54 years,Yes
"Cass County, Illinois",Cass, Illinois,B27001_048,107,Female,45 to 54 years,No
"Cass County, Illinois",Cass, Illinois,B27001_050,806,Female,55 to 64 years,Yes
"Cass County, Illinois",Cass, Illinois,B27001_051,33,Female,55 to 64 years,No
"Cass County, Illinois",Cass, Illinois,B27001_053,563,Female,65 to 74 years,Yes
"Cass County, Illinois",Cass, Illinois,B27001_054,0,Female,65 to 74 years,No
"Cass County, Illinois",Cass, Illinois,B27001_056,535,Female,75 years and over,Yes
"Cass County, Illinois",Cass, Illinois,B27001_057,0,Female,75 years and over,No
