GEOID,NAME,variable,estimate,moe,Sex,Age,HI_coverage
60610,ZCTA5 60610,B27001_010,2000,310,Male,19 to 25 years,Yes
60622,ZCTA5 60622,B27001_010,2223,301,Male,19 to 25 years,Yes
60660,ZCTA5 60660,B27001_010,2073,451,Male,19 to 25 years,Yes
60602,ZCTA5 60602,B27001_010,161,164,Male,19 to 25 years,Yes
60657,ZCTA5 60657,B27001_010,5027,626,Male,19 to 25 years,Yes
60654,ZCTA5 60654,B27001_010,641,248,Male,19 to 25 years,Yes
60659,ZCTA5 60659,B27001_010,1605,416,Male,19 to 25 years,Yes
60603,ZCTA5 60603,B27001_010,99,68,Male,19 to 25 years,Yes
60642,ZCTA5 60642,B27001_010,776,226,Male,19 to 25 years,Yes
60656,ZCTA5 60656,B27001_010,594,183,Male,19 to 25 years,Yes
60611,ZCTA5 60611,B27001_010,1436,351,Male,19 to 25 years,Yes
60616,ZCTA5 60616,B27001_010,2955,490,Male,19 to 25 years,Yes
60651,ZCTA5 60651,B27001_010,1753,305,Male,19 to 25 years,Yes
60604,ZCTA5 60604,B27001_010,32,26,Male,19 to 25 years,Yes
60612,ZCTA5 60612,B27001_010,1621,307,Male,19 to 25 years,Yes
60613,ZCTA5 60613,B27001_010,3494,557,Male,19 to 25 years,Yes
60617,ZCTA5 60617,B27001_010,3028,453,Male,19 to 25 years,Yes
60618,ZCTA5 60618,B27001_010,2876,412,Male,19 to 25 years,Yes
60624,ZCTA5 60624,B27001_010,1227,273,Male,19 to 25 years,Yes
60626,ZCTA5 60626,B27001_010,2711,591,Male,19 to 25 years,Yes
60630,ZCTA5 60630,B27001_010,1621,238,Male,19 to 25 years,Yes
60632,ZCTA5 60632,B27001_010,3605,403,Male,19 to 25 years,Yes
60645,ZCTA5 60645,B27001_010,1061,284,Male,19 to 25 years,Yes
60653,ZCTA5 60653,B27001_010,815,192,Male,19 to 25 years,Yes
60628,ZCTA5 60628,B27001_011,802,208,Male,19 to 25 years,No
60641,ZCTA5 60641,B27001_011,882,231,Male,19 to 25 years,No
60607,ZCTA5 60607,B27001_011,174,75,Male,19 to 25 years,No
60609,ZCTA5 60609,B27001_011,1144,250,Male,19 to 25 years,No
60625,ZCTA5 60625,B27001_011,913,319,Male,19 to 25 years,No
60646,ZCTA5 60646,B27001_011,147,150,Male,19 to 25 years,No
60652,ZCTA5 60652,B27001_011,413,156,Male,19 to 25 years,No
60614,ZCTA5 60614,B27001_011,297,116,Male,19 to 25 years,No
60615,ZCTA5 60615,B27001_011,347,158,Male,19 to 25 years,No
60619,ZCTA5 60619,B27001_011,728,245,Male,19 to 25 years,No
60621,ZCTA5 60621,B27001_011,347,137,Male,19 to 25 years,No
60636,ZCTA5 60636,B27001_011,498,162,Male,19 to 25 years,No
60639,ZCTA5 60639,B27001_011,1498,300,Male,19 to 25 years,No
60643,ZCTA5 60643,B27001_011,320,221,Male,19 to 25 years,No
60647,ZCTA5 60647,B27001_011,900,196,Male,19 to 25 years,No
60631,ZCTA5 60631,B27001_011,0,20,Male,19 to 25 years,No
60601,ZCTA5 60601,B27001_011,92,100,Male,19 to 25 years,No
60608,ZCTA5 60608,B27001_011,1050,250,Male,19 to 25 years,No
60620,ZCTA5 60620,B27001_011,681,243,Male,19 to 25 years,No
60634,ZCTA5 60634,B27001_011,401,154,Male,19 to 25 years,No
60637,ZCTA5 60637,B27001_011,472,177,Male,19 to 25 years,No
60644,ZCTA5 60644,B27001_011,907,257,Male,19 to 25 years,No
60605,ZCTA5 60605,B27001_011,81,63,Male,19 to 25 years,No
60606,ZCTA5 60606,B27001_011,0,11,Male,19 to 25 years,No
60623,ZCTA5 60623,B27001_011,1710,355,Male,19 to 25 years,No
60629,ZCTA5 60629,B27001_011,1797,318,Male,19 to 25 years,No
60633,ZCTA5 60633,B27001_011,234,142,Male,19 to 25 years,No
60638,ZCTA5 60638,B27001_011,455,191,Male,19 to 25 years,No
60640,ZCTA5 60640,B27001_011,511,188,Male,19 to 25 years,No
60649,ZCTA5 60649,B27001_011,424,190,Male,19 to 25 years,No
60655,ZCTA5 60655,B27001_011,96,48,Male,19 to 25 years,No
60661,ZCTA5 60661,B27001_011,34,38,Male,19 to 25 years,No
60610,ZCTA5 60610,B27001_011,148,153,Male,19 to 25 years,No
60622,ZCTA5 60622,B27001_011,317,127,Male,19 to 25 years,No
60660,ZCTA5 60660,B27001_011,354,113,Male,19 to 25 years,No
60602,ZCTA5 60602,B27001_011,1,2,Male,19 to 25 years,No
60657,ZCTA5 60657,B27001_011,171,69,Male,19 to 25 years,No
60654,ZCTA5 60654,B27001_011,0,17,Male,19 to 25 years,No
60659,ZCTA5 60659,B27001_011,639,206,Male,19 to 25 years,No
60603,ZCTA5 60603,B27001_011,37,29,Male,19 to 25 years,No
60642,ZCTA5 60642,B27001_011,96,112,Male,19 to 25 years,No
60656,ZCTA5 60656,B27001_011,139,104,Male,19 to 25 years,No
60611,ZCTA5 60611,B27001_011,28,31,Male,19 to 25 years,No
60616,ZCTA5 60616,B27001_011,321,119,Male,19 to 25 years,No
60651,ZCTA5 60651,B27001_011,1500,474,Male,19 to 25 years,No
60604,ZCTA5 60604,B27001_011,0,11,Male,19 to 25 years,No
60612,ZCTA5 60612,B27001_011,425,168,Male,19 to 25 years,No
60613,ZCTA5 60613,B27001_011,226,104,Male,19 to 25 years,No
60617,ZCTA5 60617,B27001_011,936,239,Male,19 to 25 years,No
60618,ZCTA5 60618,B27001_011,1322,303,Male,19 to 25 years,No
60624,ZCTA5 60624,B27001_011,612,195,Male,19 to 25 years,No
60626,ZCTA5 60626,B27001_011,702,211,Male,19 to 25 years,No
60630,ZCTA5 60630,B27001_011,495,227,Male,19 to 25 years,No
60632,ZCTA5 60632,B27001_011,1228,263,Male,19 to 25 years,No
60645,ZCTA5 60645,B27001_011,658,237,Male,19 to 25 years,No
60653,ZCTA5 60653,B27001_011,274,111,Male,19 to 25 years,No
60628,ZCTA5 60628,B27001_013,2462,395,Male,26 to 34 years,Yes
60641,ZCTA5 60641,B27001_013,4492,375,Male,26 to 34 years,Yes
60607,ZCTA5 60607,B27001_013,3791,489,Male,26 to 34 years,Yes
60609,ZCTA5 60609,B27001_013,2647,326,Male,26 to 34 years,Yes
60625,ZCTA5 60625,B27001_013,6404,611,Male,26 to 34 years,Yes
60646,ZCTA5 60646,B27001_013,1529,334,Male,26 to 34 years,Yes
60652,ZCTA5 60652,B27001_013,1734,284,Male,26 to 34 years,Yes
60614,ZCTA5 60614,B27001_013,10199,604,Male,26 to 34 years,Yes
60615,ZCTA5 60615,B27001_013,3179,375,Male,26 to 34 years,Yes
60619,ZCTA5 60619,B27001_013,2429,396,Male,26 to 34 years,Yes
60621,ZCTA5 60621,B27001_013,1147,241,Male,26 to 34 years,Yes
60636,ZCTA5 60636,B27001_013,1188,221,Male,26 to 34 years,Yes
60639,ZCTA5 60639,B27001_013,3635,467,Male,26 to 34 years,Yes
60643,ZCTA5 60643,B27001_013,1368,281,Male,26 to 34 years,Yes
60647,ZCTA5 60647,B27001_013,10330,603,Male,26 to 34 years,Yes
60631,ZCTA5 60631,B27001_013,1667,361,Male,26 to 34 years,Yes
60601,ZCTA5 60601,B27001_013,2415,614,Male,26 to 34 years,Yes
60608,ZCTA5 60608,B27001_013,4772,449,Male,26 to 34 years,Yes
60620,ZCTA5 60620,B27001_013,2490,453,Male,26 to 34 years,Yes
60634,ZCTA5 60634,B27001_013,4033,393,Male,26 to 34 years,Yes
60637,ZCTA5 60637,B27001_013,2157,293,Male,26 to 34 years,Yes
60644,ZCTA5 60644,B27001_013,1585,356,Male,26 to 34 years,Yes
60605,ZCTA5 60605,B27001_013,3150,525,Male,26 to 34 years,Yes
60606,ZCTA5 60606,B27001_013,483,145,Male,26 to 34 years,Yes
60623,ZCTA5 60623,B27001_013,3244,401,Male,26 to 34 years,Yes
60629,ZCTA5 60629,B27001_013,5596,461,Male,26 to 34 years,Yes
60633,ZCTA5 60633,B27001_013,597,183,Male,26 to 34 years,Yes
60638,ZCTA5 60638,B27001_013,2972,378,Male,26 to 34 years,Yes
60640,ZCTA5 60640,B27001_013,6742,548,Male,26 to 34 years,Yes
60649,ZCTA5 60649,B27001_013,1824,358,Male,26 to 34 years,Yes
60655,ZCTA5 60655,B27001_013,1476,249,Male,26 to 34 years,Yes
60661,ZCTA5 60661,B27001_013,1936,342,Male,26 to 34 years,Yes
60610,ZCTA5 60610,B27001_013,5242,640,Male,26 to 34 years,Yes
60622,ZCTA5 60622,B27001_013,9010,573,Male,26 to 34 years,Yes
60660,ZCTA5 60660,B27001_013,3599,385,Male,26 to 34 years,Yes
60602,ZCTA5 60602,B27001_013,179,107,Male,26 to 34 years,Yes
60657,ZCTA5 60657,B27001_013,10565,725,Male,26 to 34 years,Yes
