County,State,variable,estimate,Sex,Age,Employment
Adams, Indiana,B23001_166,70,Female,70 to 74 years,Employed
Adams, Indiana,B23001_167,15,Female,70 to 74 years,Unemployed
Adams, Indiana,B23001_168,555,Female,70 to 74 years,Not in labor force
Adams, Indiana,B23001_171,21,Female,75 years and over,Employed
Adams, Indiana,B23001_172,0,Female,75 years and over,Unemployed
Adams, Indiana,B23001_173,1468,Female,75 years and over,Not in labor force
Allen, Indiana,B23001_005,0,Male,16 to 19 years,In Armed Forces
Allen, Indiana,B23001_007,3571,Male,16 to 19 years,Employed Civilian
Allen, Indiana,B23001_008,846,Male,16 to 19 years,Unemployed Civilian
Allen, Indiana,B23001_009,5791,Male,16 to 19 years,Not in labor force
Allen, Indiana,B23001_012,0,Male,20 and 21 years,In Armed Forces
Allen, Indiana,B23001_014,3475,Male,20 and 21 years,Employed Civilian
Allen, Indiana,B23001_015,440,Male,20 and 21 years,Unemployed Civilian
Allen, Indiana,B23001_016,946,Male,20 and 21 years,Not in labor force
Allen, Indiana,B23001_019,0,Male,22 to 24 years,In Armed Forces
Allen, Indiana,B23001_021,5875,Male,22 to 24 years,Employed Civilian
Allen, Indiana,B23001_022,462,Male,22 to 24 years,Unemployed Civilian
Allen, Indiana,B23001_023,1192,Male,22 to 24 years,Not in labor force
Allen, Indiana,B23001_026,40,Male,25 to 29 years,In Armed Forces
Allen, Indiana,B23001_028,11097,Male,25 to 29 years,Employed Civilian
Allen, Indiana,B23001_029,537,Male,25 to 29 years,Unemployed Civilian
Allen, Indiana,B23001_030,1192,Male,25 to 29 years,Not in labor force
Allen, Indiana,B23001_033,40,Male,30 to 34 years,In Armed Forces
Allen, Indiana,B23001_035,9994,Male,30 to 34 years,Employed Civilian
Allen, Indiana,B23001_036,537,Male,30 to 34 years,Unemployed Civilian
Allen, Indiana,B23001_037,1281,Male,30 to 34 years,Not in labor force
Allen, Indiana,B23001_040,10,Male,35 to 44 years,In Armed Forces
Allen, Indiana,B23001_042,19389,Male,35 to 44 years,Employed Civilian
Allen, Indiana,B23001_043,938,Male,35 to 44 years,Unemployed Civilian
Allen, Indiana,B23001_044,2230,Male,35 to 44 years,Not in labor force
Allen, Indiana,B23001_047,6,Male,45 to 54 years,In Armed Forces
Allen, Indiana,B23001_049,19168,Male,45 to 54 years,Employed Civilian
Allen, Indiana,B23001_050,646,Male,45 to 54 years,Unemployed Civilian
Allen, Indiana,B23001_051,3068,Male,45 to 54 years,Not in labor force
Allen, Indiana,B23001_054,0,Male,55 to 59 years,In Armed Forces
Allen, Indiana,B23001_056,9061,Male,55 to 59 years,Employed Civilian
Allen, Indiana,B23001_057,427,Male,55 to 59 years,Unemployed Civilian
Allen, Indiana,B23001_058,2172,Male,55 to 59 years,Not in labor force
Allen, Indiana,B23001_061,0,Male,60 and 61 years,In Armed Forces
Allen, Indiana,B23001_063,3048,Male,60 and 61 years,Employed Civilian
Allen, Indiana,B23001_064,84,Male,60 and 61 years,Unemployed Civilian
Allen, Indiana,B23001_065,1226,Male,60 and 61 years,Not in labor force
Allen, Indiana,B23001_068,0,Male,62 to 64 years,In Armed Forces
Allen, Indiana,B23001_070,3379,Male,62 to 64 years,Employed Civilian
Allen, Indiana,B23001_071,178,Male,62 to 64 years,Unemployed Civilian
Allen, Indiana,B23001_072,2575,Male,62 to 64 years,Not in labor force
Allen, Indiana,B23001_075,2931,Male,65 to 69 years,Employed
Allen, Indiana,B23001_076,43,Male,65 to 69 years,Unemployed
Allen, Indiana,B23001_077,5419,Male,65 to 69 years,Not in labor force
Allen, Indiana,B23001_080,1115,Male,70 to 74 years,Employed
Allen, Indiana,B23001_081,27,Male,70 to 74 years,Unemployed
Allen, Indiana,B23001_082,4484,Male,70 to 74 years,Not in labor force
Allen, Indiana,B23001_085,994,Male,75 years and over,Employed
Allen, Indiana,B23001_086,22,Male,75 years and over,Unemployed
Allen, Indiana,B23001_087,7251,Male,75 years and over,Not in labor force
Allen, Indiana,B23001_091,0,Female,16 to 19 years,In Armed Forces
Allen, Indiana,B23001_093,4352,Female,16 to 19 years,Employed Civilian
Allen, Indiana,B23001_094,765,Female,16 to 19 years,Unemployed Civilian
Allen, Indiana,B23001_095,4688,Female,16 to 19 years,Not in labor force
Allen, Indiana,B23001_098,0,Female,20 and 21 years,In Armed Forces
Allen, Indiana,B23001_100,3369,Female,20 and 21 years,Employed Civilian
Allen, Indiana,B23001_101,428,Female,20 and 21 years,Unemployed Civilian
Allen, Indiana,B23001_102,917,Female,20 and 21 years,Not in labor force
Allen, Indiana,B23001_105,0,Female,22 to 24 years,In Armed Forces
Allen, Indiana,B23001_107,5734,Female,22 to 24 years,Employed Civilian
Allen, Indiana,B23001_108,578,Female,22 to 24 years,Unemployed Civilian
Allen, Indiana,B23001_109,1422,Female,22 to 24 years,Not in labor force
Allen, Indiana,B23001_112,0,Female,25 to 29 years,In Armed Forces
Allen, Indiana,B23001_114,10335,Female,25 to 29 years,Employed Civilian
Allen, Indiana,B23001_115,734,Female,25 to 29 years,Unemployed Civilian
Allen, Indiana,B23001_116,2259,Female,25 to 29 years,Not in labor force
Allen, Indiana,B23001_119,0,Female,30 to 34 years,In Armed Forces
Allen, Indiana,B23001_121,8836,Female,30 to 34 years,Employed Civilian
Allen, Indiana,B23001_122,590,Female,30 to 34 years,Unemployed Civilian
Allen, Indiana,B23001_123,2803,Female,30 to 34 years,Not in labor force
Allen, Indiana,B23001_126,0,Female,35 to 44 years,In Armed Forces
Allen, Indiana,B23001_128,17349,Female,35 to 44 years,Employed Civilian
Allen, Indiana,B23001_129,889,Female,35 to 44 years,Unemployed Civilian
Allen, Indiana,B23001_130,5107,Female,35 to 44 years,Not in labor force
Allen, Indiana,B23001_133,0,Female,45 to 54 years,In Armed Forces
Allen, Indiana,B23001_135,17130,Female,45 to 54 years,Employed Civilian
Allen, Indiana,B23001_136,730,Female,45 to 54 years,Unemployed Civilian
Allen, Indiana,B23001_137,5702,Female,45 to 54 years,Not in labor force
Allen, Indiana,B23001_140,0,Female,55 to 59 years,In Armed Forces
Allen, Indiana,B23001_142,8628,Female,55 to 59 years,Employed Civilian
Allen, Indiana,B23001_143,298,Female,55 to 59 years,Unemployed Civilian
Allen, Indiana,B23001_144,3437,Female,55 to 59 years,Not in labor force
Allen, Indiana,B23001_147,0,Female,60 and 61 years,In Armed Forces
Allen, Indiana,B23001_149,2858,Female,60 and 61 years,Employed Civilian
Allen, Indiana,B23001_150,136,Female,60 and 61 years,Unemployed Civilian
Allen, Indiana,B23001_151,1626,Female,60 and 61 years,Not in labor force
Allen, Indiana,B23001_154,0,Female,62 to 64 years,In Armed Forces
Allen, Indiana,B23001_156,3131,Female,62 to 64 years,Employed Civilian
Allen, Indiana,B23001_157,91,Female,62 to 64 years,Unemployed Civilian
Allen, Indiana,B23001_158,3517,Female,62 to 64 years,Not in labor force
Allen, Indiana,B23001_161,2643,Female,65 to 69 years,Employed
Allen, Indiana,B23001_162,108,Female,65 to 69 years,Unemployed
Allen, Indiana,B23001_163,7000,Female,65 to 69 years,Not in labor force
Allen, Indiana,B23001_166,1047,Female,70 to 74 years,Employed
Allen, Indiana,B23001_167,32,Female,70 to 74 years,Unemployed
Allen, Indiana,B23001_168,5262,Female,70 to 74 years,Not in labor force
Allen, Indiana,B23001_171,593,Female,75 years and over,Employed
Allen, Indiana,B23001_172,14,Female,75 years and over,Unemployed
Allen, Indiana,B23001_173,12322,Female,75 years and over,Not in labor force
Bartholomew, Indiana,B23001_005,0,Male,16 to 19 years,In Armed Forces
Bartholomew, Indiana,B23001_007,839,Male,16 to 19 years,Employed Civilian
Bartholomew, Indiana,B23001_008,157,Male,16 to 19 years,Unemployed Civilian
Bartholomew, Indiana,B23001_009,1117,Male,16 to 19 years,Not in labor force
Bartholomew, Indiana,B23001_012,0,Male,20 and 21 years,In Armed Forces
Bartholomew, Indiana,B23001_014,784,Male,20 and 21 years,Employed Civilian
Bartholomew, Indiana,B23001_015,36,Male,20 and 21 years,Unemployed Civilian
Bartholomew, Indiana,B23001_016,160,Male,20 and 21 years,Not in labor force
Bartholomew, Indiana,B23001_019,0,Male,22 to 24 years,In Armed Forces
Bartholomew, Indiana,B23001_021,1498,Male,22 to 24 years,Employed Civilian
Bartholomew, Indiana,B23001_022,81,Male,22 to 24 years,Unemployed Civilian
Bartholomew, Indiana,B23001_023,129,Male,22 to 24 years,Not in labor force
Bartholomew, Indiana,B23001_026,0,Male,25 to 29 years,In Armed Forces
Bartholomew, Indiana,B23001_028,2794,Male,25 to 29 years,Employed Civilian
Bartholomew, Indiana,B23001_029,190,Male,25 to 29 years,Unemployed Civilian
Bartholomew, Indiana,B23001_030,313,Male,25 to 29 years,Not in labor force
Bartholomew, Indiana,B23001_033,9,Male,30 to 34 years,In Armed Forces
Bartholomew, Indiana,B23001_035,2448,Male,30 to 34 years,Employed Civilian
Bartholomew, Indiana,B23001_036,106,Male,30 to 34 years,Unemployed Civilian
Bartholomew, Indiana,B23001_037,243,Male,30 to 34 years,Not in labor force
Bartholomew, Indiana,B23001_040,0,Male,35 to 44 years,In Armed Forces
Bartholomew, Indiana,B23001_042,4785,Male,35 to 44 years,Employed Civilian
Bartholomew, Indiana,B23001_043,212,Male,35 to 44 years,Unemployed Civilian
Bartholomew, Indiana,B23001_044,308,Male,35 to 44 years,Not in labor force
Bartholomew, Indiana,B23001_047,0,Male,45 to 54 years,In Armed Forces
Bartholomew, Indiana,B23001_049,4745,Male,45 to 54 years,Employed Civilian
Bartholomew, Indiana,B23001_050,99,Male,45 to 54 years,Unemployed Civilian
Bartholomew, Indiana,B23001_051,582,Male,45 to 54 years,Not in labor force
Bartholomew, Indiana,B23001_054,0,Male,55 to 59 years,In Armed Forces
Bartholomew, Indiana,B23001_056,2115,Male,55 to 59 years,Employed Civilian
Bartholomew, Indiana,B23001_057,51,Male,55 to 59 years,Unemployed Civilian
Bartholomew, Indiana,B23001_058,436,Male,55 to 59 years,Not in labor force
Bartholomew, Indiana,B23001_061,0,Male,60 and 61 years,In Armed Forces
Bartholomew, Indiana,B23001_063,771,Male,60 and 61 years,Employed Civilian
Bartholomew, Indiana,B23001_064,17,Male,60 and 61 years,Unemployed Civilian
Bartholomew, Indiana,B23001_065,246,Male,60 and 61 years,Not in labor force
Bartholomew, Indiana,B23001_068,0,Male,62 to 64 years,In Armed Forces
Bartholomew, Indiana,B23001_070,735,Male,62 to 64 years,Employed Civilian
Bartholomew, Indiana,B23001_071,38,Male,62 to 64 years,Unemployed Civilian
Bartholomew, Indiana,B23001_072,495,Male,62 to 64 years,Not in labor force
Bartholomew, Indiana,B23001_075,726,Male,65 to 69 years,Employed
Bartholomew, Indiana,B23001_076,15,Male,65 to 69 years,Unemployed
Bartholomew, Indiana,B23001_077,1365,Male,65 to 69 years,Not in labor force
Bartholomew, Indiana,B23001_080,209,Male,70 to 74 years,Employed
Bartholomew, Indiana,B23001_081,0,Male,70 to 74 years,Unemployed
Bartholomew, Indiana,B23001_082,1138,Male,70 to 74 years,Not in labor force
Bartholomew, Indiana,B23001_085,238,Male,75 years and over,Employed
Bartholomew, Indiana,B23001_086,0,Male,75 years and over,Unemployed
Bartholomew, Indiana,B23001_087,2001,Male,75 years and over,Not in labor force
Bartholomew, Indiana,B23001_091,0,Female,16 to 19 years,In Armed Forces
Bartholomew, Indiana,B23001_093,718,Female,16 to 19 years,Employed Civilian
Bartholomew, Indiana,B23001_094,176,Female,16 to 19 years,Unemployed Civilian
Bartholomew, Indiana,B23001_095,823,Female,16 to 19 years,Not in labor force
Bartholomew, Indiana,B23001_098,0,Female,20 and 21 years,In Armed Forces
Bartholomew, Indiana,B23001_100,486,Female,20 and 21 years,Employed Civilian
Bartholomew, Indiana,B23001_101,60,Female,20 and 21 years,Unemployed Civilian
Bartholomew, Indiana,B23001_102,388,Female,20 and 21 years,Not in labor force
Bartholomew, Indiana,B23001_105,0,Female,22 to 24 years,In Armed Forces
Bartholomew, Indiana,B23001_107,1012,Female,22 to 24 years,Employed Civilian
Bartholomew, Indiana,B23001_108,113,Female,22 to 24 years,Unemployed Civilian
Bartholomew, Indiana,B23001_109,354,Female,22 to 24 years,Not in labor force
Bartholomew, Indiana,B23001_112,0,Female,25 to 29 years,In Armed Forces
Bartholomew, Indiana,B23001_114,2067,Female,25 to 29 years,Employed Civilian
Bartholomew, Indiana,B23001_115,249,Female,25 to 29 years,Unemployed Civilian
Bartholomew, Indiana,B23001_116,587,Female,25 to 29 years,Not in labor force
Bartholomew, Indiana,B23001_119,0,Female,30 to 34 years,In Armed Forces
Bartholomew, Indiana,B23001_121,1883,Female,30 to 34 years,Employed Civilian
Bartholomew, Indiana,B23001_122,108,Female,30 to 34 years,Unemployed Civilian
Bartholomew, Indiana,B23001_123,555,Female,30 to 34 years,Not in labor force
Bartholomew, Indiana,B23001_126,0,Female,35 to 44 years,In Armed Forces
Bartholomew, Indiana,B23001_128,3619,Female,35 to 44 years,Employed Civilian
Bartholomew, Indiana,B23001_129,159,Female,35 to 44 years,Unemployed Civilian
Bartholomew, Indiana,B23001_130,1419,Female,35 to 44 years,Not in labor force
Bartholomew, Indiana,B23001_133,0,Female,45 to 54 years,In Armed Forces
Bartholomew, Indiana,B23001_135,3748,Female,45 to 54 years,Employed Civilian
Bartholomew, Indiana,B23001_136,163,Female,45 to 54 years,Unemployed Civilian
Bartholomew, Indiana,B23001_137,1218,Female,45 to 54 years,Not in labor force
Bartholomew, Indiana,B23001_140,0,Female,55 to 59 years,In Armed Forces
Bartholomew, Indiana,B23001_142,1850,Female,55 to 59 years,Employed Civilian
Bartholomew, Indiana,B23001_143,9,Female,55 to 59 years,Unemployed Civilian
Bartholomew, Indiana,B23001_144,1006,Female,55 to 59 years,Not in labor force
Bartholomew, Indiana,B23001_147,0,Female,60 and 61 years,In Armed Forces
Bartholomew, Indiana,B23001_149,619,Female,60 and 61 years,Employed Civilian
Bartholomew, Indiana,B23001_150,0,Female,60 and 61 years,Unemployed Civilian
Bartholomew, Indiana,B23001_151,338,Female,60 and 61 years,Not in labor force
Bartholomew, Indiana,B23001_154,0,Female,62 to 64 years,In Armed Forces
Bartholomew, Indiana,B23001_156,596,Female,62 to 64 years,Employed Civilian
Bartholomew, Indiana,B23001_157,3,Female,62 to 64 years,Unemployed Civilian
Bartholomew, Indiana,B23001_158,730,Female,62 to 64 years,Not in labor force
Bartholomew, Indiana,B23001_161,492,Female,65 to 69 years,Employed
Bartholomew, Indiana,B23001_162,0,Female,65 to 69 years,Unemployed
Bartholomew, Indiana,B23001_163,1646,Female,65 to 69 years,Not in labor force
Bartholomew, Indiana,B23001_166,240,Female,70 to 74 years,Employed
Bartholomew, Indiana,B23001_167,0,Female,70 to 74 years,Unemployed
Bartholomew, Indiana,B23001_168,1515,Female,70 to 74 years,Not in labor force
Bartholomew, Indiana,B23001_171,175,Female,75 years and over,Employed
Bartholomew, Indiana,B23001_172,0,Female,75 years and over,Unemployed
Bartholomew, Indiana,B23001_173,3032,Female,75 years and over,Not in labor force
Benton, Indiana,B23001_005,0,Male,16 to 19 years,In Armed Forces
Benton, Indiana,B23001_007,82,Male,16 to 19 years,Employed Civilian
Benton, Indiana,B23001_008,15,Male,16 to 19 years,Unemployed Civilian
Benton, Indiana,B23001_009,131,Male,16 to 19 years,Not in labor force
Benton, Indiana,B23001_012,0,Male,20 and 21 years,In Armed Forces
Benton, Indiana,B23001_014,72,Male,20 and 21 years,Employed Civilian
Benton, Indiana,B23001_015,0,Male,20 and 21 years,Unemployed Civilian
Benton, Indiana,B23001_016,30,Male,20 and 21 years,Not in labor force
Benton, Indiana,B23001_019,0,Male,22 to 24 years,In Armed Forces
Benton, Indiana,B23001_021,126,Male,22 to 24 years,Employed Civilian
Benton, Indiana,B23001_022,10,Male,22 to 24 years,Unemployed Civilian
Benton, Indiana,B23001_023,13,Male,22 to 24 years,Not in labor force
Benton, Indiana,B23001_026,0,Male,25 to 29 years,In Armed Forces
Benton, Indiana,B23001_028,210,Male,25 to 29 years,Employed Civilian
Benton, Indiana,B23001_029,13,Male,25 to 29 years,Unemployed Civilian
Benton, Indiana,B23001_030,30,Male,25 to 29 years,Not in labor force
Benton, Indiana,B23001_033,0,Male,30 to 34 years,In Armed Forces
Benton, Indiana,B23001_035,226,Male,30 to 34 years,Employed Civilian
Benton, Indiana,B23001_036,7,Male,30 to 34 years,Unemployed Civilian
Benton, Indiana,B23001_037,16,Male,30 to 34 years,Not in labor force
Benton, Indiana,B23001_040,0,Male,35 to 44 years,In Armed Forces
Benton, Indiana,B23001_042,430,Male,35 to 44 years,Employed Civilian
Benton, Indiana,B23001_043,23,Male,35 to 44 years,Unemployed Civilian
Benton, Indiana,B23001_044,35,Male,35 to 44 years,Not in labor force
Benton, Indiana,B23001_047,0,Male,45 to 54 years,In Armed Forces
Benton, Indiana,B23001_049,482,Male,45 to 54 years,Employed Civilian
Benton, Indiana,B23001_050,17,Male,45 to 54 years,Unemployed Civilian
Benton, Indiana,B23001_051,73,Male,45 to 54 years,Not in labor force
Benton, Indiana,B23001_054,0,Male,55 to 59 years,In Armed Forces
Benton, Indiana,B23001_056,272,Male,55 to 59 years,Employed Civilian
Benton, Indiana,B23001_057,8,Male,55 to 59 years,Unemployed Civilian
Benton, Indiana,B23001_058,47,Male,55 to 59 years,Not in labor force
Benton, Indiana,B23001_061,0,Male,60 and 61 years,In Armed Forces
Benton, Indiana,B23001_063,82,Male,60 and 61 years,Employed Civilian
Benton, Indiana,B23001_064,0,Male,60 and 61 years,Unemployed Civilian
Benton, Indiana,B23001_065,44,Male,60 and 61 years,Not in labor force
Benton, Indiana,B23001_068,0,Male,62 to 64 years,In Armed Forces
Benton, Indiana,B23001_070,100,Male,62 to 64 years,Employed Civilian
Benton, Indiana,B23001_071,0,Male,62 to 64 years,Unemployed Civilian
Benton, Indiana,B23001_072,38,Male,62 to 64 years,Not in labor force
Benton, Indiana,B23001_075,85,Male,65 to 69 years,Employed
Benton, Indiana,B23001_076,0,Male,65 to 69 years,Unemployed
Benton, Indiana,B23001_077,155,Male,65 to 69 years,Not in labor force
Benton, Indiana,B23001_080,38,Male,70 to 74 years,Employed
Benton, Indiana,B23001_081,0,Male,70 to 74 years,Unemployed
Benton, Indiana,B23001_082,130,Male,70 to 74 years,Not in labor force
Benton, Indiana,B23001_085,34,Male,75 years and over,Employed
Benton, Indiana,B23001_086,7,Male,75 years and over,Unemployed
Benton, Indiana,B23001_087,204,Male,75 years and over,Not in labor force
Benton, Indiana,B23001_091,0,Female,16 to 19 years,In Armed Forces
Benton, Indiana,B23001_093,90,Female,16 to 19 years,Employed Civilian
Benton, Indiana,B23001_094,6,Female,16 to 19 years,Unemployed Civilian
Benton, Indiana,B23001_095,158,Female,16 to 19 years,Not in labor force
Benton, Indiana,B23001_098,0,Female,20 and 21 years,In Armed Forces
Benton, Indiana,B23001_100,63,Female,20 and 21 years,Employed Civilian
Benton, Indiana,B23001_101,27,Female,20 and 21 years,Unemployed Civilian
Benton, Indiana,B23001_102,18,Female,20 and 21 years,Not in labor force
Benton, Indiana,B23001_105,0,Female,22 to 24 years,In Armed Forces
Benton, Indiana,B23001_107,103,Female,22 to 24 years,Employed Civilian
Benton, Indiana,B23001_108,7,Female,22 to 24 years,Unemployed Civilian
Benton, Indiana,B23001_109,13,Female,22 to 24 years,Not in labor force
Benton, Indiana,B23001_112,0,Female,25 to 29 years,In Armed Forces
Benton, Indiana,B23001_114,137,Female,25 to 29 years,Employed Civilian
Benton, Indiana,B23001_115,0,Female,25 to 29 years,Unemployed Civilian
Benton, Indiana,B23001_116,77,Female,25 to 29 years,Not in labor force
Benton, Indiana,B23001_119,0,Female,30 to 34 years,In Armed Forces
Benton, Indiana,B23001_121,149,Female,30 to 34 years,Employed Civilian
Benton, Indiana,B23001_122,25,Female,30 to 34 years,Unemployed Civilian
Benton, Indiana,B23001_123,62,Female,30 to 34 years,Not in labor force
Benton, Indiana,B23001_126,0,Female,35 to 44 years,In Armed Forces
Benton, Indiana,B23001_128,369,Female,35 to 44 years,Employed Civilian
Benton, Indiana,B23001_129,3,Female,35 to 44 years,Unemployed Civilian
Benton, Indiana,B23001_130,161,Female,35 to 44 years,Not in labor force
Benton, Indiana,B23001_133,0,Female,45 to 54 years,In Armed Forces
Benton, Indiana,B23001_135,412,Female,45 to 54 years,Employed Civilian
Benton, Indiana,B23001_136,7,Female,45 to 54 years,Unemployed Civilian
Benton, Indiana,B23001_137,157,Female,45 to 54 years,Not in labor force
Benton, Indiana,B23001_140,0,Female,55 to 59 years,In Armed Forces
Benton, Indiana,B23001_142,230,Female,55 to 59 years,Employed Civilian
Benton, Indiana,B23001_143,0,Female,55 to 59 years,Unemployed Civilian
Benton, Indiana,B23001_144,119,Female,55 to 59 years,Not in labor force
Benton, Indiana,B23001_147,0,Female,60 and 61 years,In Armed Forces
Benton, Indiana,B23001_149,57,Female,60 and 61 years,Employed Civilian
Benton, Indiana,B23001_150,0,Female,60 and 61 years,Unemployed Civilian
Benton, Indiana,B23001_151,41,Female,60 and 61 years,Not in labor force
Benton, Indiana,B23001_154,0,Female,62 to 64 years,In Armed Forces
