zip,type,primary_city,acceptable_cities,state,county,latitude,longitude
00662,STANDARD,Isabela,NA,PR,Isabela Municipio,18.5,-67.02
00664,STANDARD,Jayuya,NA,PR,Jayuya Municipio,18.22,-66.59
00667,STANDARD,Lajas,NA,PR,Lajas Municipio,18.04,-67.06
00669,STANDARD,Lares,NA,PR,Lares Municipio,18.29,-66.88
00670,STANDARD,Las Marias,NA,PR,Las Marias Municipio,18.27,-67.06
00674,STANDARD,Manati,NA,PR,Manati Municipio,18.43,-66.48
00676,STANDARD,Moca,NA,PR,Moca Municipio,18.39,-67.11
00677,STANDARD,Rincon,NA,PR,Rincon Municipio,18.34,-67.25
00678,STANDARD,Quebradillas,NA,PR,Quebradillas Municipio,18.47,-66.93
00680,STANDARD,Mayaguez,NA,PR,Mayaguez Municipio,18.2,-67.14
00681,PO BOX,Mayaguez,NA,PR,NA,18.2,-67.14
00682,STANDARD,Mayaguez,NA,PR,Mayaguez Municipio,18.22,-67.16
00683,STANDARD,San German,NA,PR,San German Municipio,18.08,-67.04
00685,STANDARD,San Sebastian,NA,PR,San Sebastian Municipio,18.33,-66.99
00687,STANDARD,Morovis,NA,PR,Morovis Municipio,18.32,-66.4
00688,STANDARD,Sabana Hoyos,NA,PR,Arecibo Municipio,18.38,-66.62
00690,STANDARD,San Antonio,NA,PR,Aguadilla Municipio,18.49,-67.09
00692,STANDARD,Vega Alta,NA,PR,Vega Alta Municipio,18.41,-66.32
00693,STANDARD,Vega Baja,NA,PR,Vega Baja Municipio,18.44,-66.39
00694,PO BOX,Vega Baja,NA,PR,Vega Baja Municipio,18.48,-66.39
00698,STANDARD,Yauco,NA,PR,Yauco Municipio,18.03,-66.86
00703,STANDARD,Aguas Buenas,NA,PR,Aguas Buenas Municipio,18.25,-66.1
00704,STANDARD,Aguirre,NA,PR,Salinas Municipio,17.96,-66.22
00705,STANDARD,Aibonito,NA,PR,Aibonito Municipio,18.14,-66.26
00707,STANDARD,Maunabo,NA,PR,Maunabo Municipio,18,-65.9
00714,STANDARD,Arroyo,NA,PR,Arroyo Municipio,17.97,-66.06
00715,STANDARD,Mercedita,Ponce,PR,Ponce Municipio,18.01,-66.56
00716,STANDARD,Ponce,Mercedita,PR,Ponce Municipio,17.98,-66.6
00717,STANDARD,Ponce,NA,PR,Ponce Municipio,18,-66.61
00718,STANDARD,Naguabo,NA,PR,Naguabo Municipio,18.21,-65.73
00719,STANDARD,Naranjito,NA,PR,Naranjito Municipio,18.3,-66.24
00720,STANDARD,Orocovis,NA,PR,Orocovis Municipio,18.22,-66.39
00721,PO BOX,Palmer,Rio Grande,PR,NA,18.37,-65.77
00723,STANDARD,Patillas,NA,PR,Patillas Municipio,18,-66.01
00725,STANDARD,Caguas,NA,PR,Caguas Municipio,18.23,-66.03
00726,PO BOX,Caguas,NA,PR,NA,18.23,-66.03
00727,STANDARD,Caguas,NA,PR,Caguas Municipio,18.22,-66.07
00728,STANDARD,Ponce,NA,PR,Ponce Municipio,17.99,-66.66
00729,STANDARD,Canovanas,NA,PR,Canovanas Municipio,18.37,-65.9
00730,STANDARD,Ponce,NA,PR,Ponce Municipio,18.03,-66.62
00731,STANDARD,Ponce,NA,PR,Ponce Municipio,18.11,-66.63
00732,PO BOX,Ponce,NA,PR,NA,17.98,-66.6
00733,PO BOX,Ponce,NA,PR,NA,17.98,-66.6
00734,PO BOX,Ponce,NA,PR,NA,17.98,-66.6
00735,STANDARD,Ceiba,"Roosevelt Rds, Roosevelt Roads",PR,Ceiba Municipio,18.25,-65.68
00736,STANDARD,Cayey,NA,PR,Cayey Municipio,18.11,-66.16
00737,PO BOX,Cayey,NA,PR,NA,18.11,-66.16
00738,STANDARD,Fajardo,NA,PR,Fajardo Municipio,18.33,-65.65
00739,STANDARD,Cidra,NA,PR,Cidra Municipio,18.17,-66.15
00740,STANDARD,Puerto Real,NA,PR,Fajardo Municipio,18.33,-65.63
00741,STANDARD,Punta Santiago,Punta Stgo,PR,Humacao Municipio,18.16,-65.75
00742,PO BOX,Roosevelt Roads,"Ceiba, Roosevelt Rds",PR,NA,18.27,-65.65
00744,PO BOX,Rio Blanco,NA,PR,NA,18.22,-65.79
00745,STANDARD,Rio Grande,NA,PR,Rio Grande Municipio,18.38,-65.83
00751,STANDARD,Salinas,NA,PR,Salinas Municipio,17.97,-66.29
00754,STANDARD,San Lorenzo,NA,PR,San Lorenzo Municipio,18.19,-65.96
00757,STANDARD,Santa Isabel,NA,PR,Santa Isabel Municipio,17.97,-66.4
00765,STANDARD,Vieques,NA,PR,Vieques Municipio,18.13,-65.44
00766,STANDARD,Villalba,NA,PR,Villalba Municipio,18.13,-66.48
00767,STANDARD,Yabucoa,NA,PR,Yabucoa Municipio,18.04,-65.87
00769,STANDARD,Coamo,NA,PR,Coamo Municipio,18.08,-66.36
00771,STANDARD,Las Piedras,NA,PR,Las Piedras Municipio,18.18,-65.86
00772,STANDARD,Loiza,NA,PR,Loiza Municipio,18.43,-65.88
00773,STANDARD,Luquillo,NA,PR,Luquillo Municipio,18.37,-65.71
00775,PO BOX,Culebra,NA,PR,Culebra Municipio,18.33,-65.3
00777,STANDARD,Juncos,NA,PR,Juncos Municipio,18.22,-65.91
00778,STANDARD,Gurabo,NA,PR,Gurabo Municipio,18.25,-65.97
00780,STANDARD,Coto Laurel,Ponce,PR,Ponce Municipio,18.09,-66.57
00782,STANDARD,Comerio,NA,PR,Comerio Municipio,18.22,-66.22
00783,STANDARD,Corozal,NA,PR,Corozal Municipio,18.34,-66.31
00784,STANDARD,Guayama,NA,PR,Guayama Municipio,17.97,-66.11
00785,PO BOX,Guayama,NA,PR,NA,17.97,-66.11
00786,PO BOX,La Plata,NA,PR,Aibonito Municipio,18.16,-66.23
00791,STANDARD,Humacao,NA,PR,Humacao Municipio,18.15,-65.81
00792,PO BOX,Humacao,NA,PR,NA,18.15,-65.81
00794,STANDARD,Barranquitas,NA,PR,Barranquitas Municipio,18.18,-66.3
00795,STANDARD,Juana Diaz,NA,PR,Juana Diaz Municipio,18.05,-66.5
00801,PO BOX,St Thomas,"Charlotte Ama, Charlotte Amalie",VI,NA,18.35,-64.93
00802,STANDARD,St Thomas,"Charlotte Ama, Charlotte Amalie",VI,NA,18.35,-64.93
00803,PO BOX,St Thomas,"Charlotte Ama, Charlotte Amalie",VI,NA,18.35,-64.93
00804,PO BOX,St Thomas,"Charlotte Ama, Charlotte Amalie",VI,NA,18.35,-64.93
00805,PO BOX,St Thomas,NA,VI,NA,18.34,-64.93
00820,STANDARD,Christiansted,St Croix,VI,NA,17.74,-64.7
00821,PO BOX,Christiansted,NA,VI,NA,17.74,-64.7
00822,PO BOX,Christiansted,NA,VI,NA,17.74,-64.7
00823,PO BOX,Christiansted,St Croix,VI,NA,17.74,-64.7
00824,PO BOX,Christiansted,St Croix,VI,NA,17.74,-64.7
00830,STANDARD,St John,Cruz Bay,VI,NA,18.33,-64.79
00831,PO BOX,St John,Cruz Bay,VI,NA,18.33,-64.79
00840,STANDARD,Frederiksted,NA,VI,NA,17.71,-64.88
00841,PO BOX,Frederiksted,NA,VI,NA,17.71,-64.88
00850,STANDARD,Kingshill,NA,VI,NA,17.76,-64.82
00851,PO BOX,Kingshill,NA,VI,NA,17.73,-64.8
00901,STANDARD,San Juan,"Old San Juan, Viejo San Juan, Viejo Sn Juan",PR,San Juan Municipio,18.47,-66.1
00902,PO BOX,San Juan,"Old San Juan, Viejo San Juan, Viejo Sn Juan",PR,NA,18.4,-66.06
00906,PO BOX,San Juan,"Pta De Tierra, Puerta De Tierra",PR,San Juan Municipio,18.46,-66.09
00907,STANDARD,San Juan,"Condado, Miramar, Santurce",PR,San Juan Municipio,18.45,-66.08
00908,PO BOX,San Juan,NA,PR,NA,18.4,-66.06
00909,STANDARD,San Juan,"Fdez Juncos, Fernandez Juncos, Minillas, Santurce",PR,San Juan Municipio,18.44,-66.07
00910,PO BOX,San Juan,"Fdez Juncos, Fernandez Juncos",PR,NA,18.4,-66.06
00911,STANDARD,San Juan,"Loiza Street, Santurce",PR,San Juan Municipio,18.45,-66.06
00912,STANDARD,San Juan,Santurce,PR,San Juan Municipio,18.45,-66.06
00913,STANDARD,San Juan,"Isla Verde, Santurce",PR,San Juan Municipio,18.45,-66.04
00914,PO BOX,San Juan,"Loiza Street, Santurce",PR,NA,18.4,-66.06
00915,STANDARD,San Juan,"Barrio Obrero, Bo Obrero, Santurce",PR,San Juan Municipio,18.44,-66.05
00916,PO BOX,San Juan,"Barrio Obrero, Santurce",PR,NA,18.4,-66.06
00917,STANDARD,San Juan,Hato Rey,PR,San Juan Municipio,18.42,-66.05
00918,STANDARD,San Juan,NA,PR,San Juan Municipio,18.42,-66.07
00919,PO BOX,San Juan,Hato Rey,PR,NA,18.4,-66.06
00920,STANDARD,San Juan,"Caparra, Caparra Hills, Caparra Ter, Caparra Terrace, Pto Nuevo, Puerto Nuevo",PR,San Juan Municipio,18.41,-66.09
00921,STANDARD,San Juan,"College Park, Pto Nuevo, Puerto Nuevo, Rio Piedras",PR,San Juan Municipio,18.39,-66.09
00922,PO BOX,San Juan,"Caparra, Caparra Hills, Caparra Ter, Caparra Terrace",PR,NA,18.4,-66.06
00923,STANDARD,San Juan,65th Infantry,PR,San Juan Municipio,18.41,-66.04
00924,STANDARD,San Juan,"Rio Piedras, 65th Infantry",PR,San Juan Municipio,18.4,-66.01
00925,STANDARD,San Juan,Rio Piedras,PR,San Juan Municipio,18.4,-66.05
00926,STANDARD,San Juan,"Cupey, Rio Piedras",PR,San Juan Municipio,18.35,-66.05
00927,STANDARD,San Juan,Rio Piedras,PR,San Juan Municipio,18.4,-66.06
00928,PO BOX,San Juan,Rio Piedras,PR,NA,18.4,-66.06
00929,PO BOX,San Juan,"Rio Piedras, 65th Infantry",PR,San Juan,18.4,-66.06
00930,PO BOX,San Juan,"Rio Piedras, San Jose",PR,NA,18.4,-66.06
00931,PO BOX,San Juan,Rio Piedras,PR,San Juan,18.4,-66.06
00933,PO BOX,San Juan,NA,PR,San Juan,18.4,-66.06
00934,STANDARD,Fort Buchanan,Ft Buchanan,PR,Guaynabo Municipio,18.41,-66.12
00935,UNIQUE,San Juan,NA,PR,San Juan,18.4,-66.06
00936,PO BOX,San Juan,"Barrio Obrero, Caparra, Cupey, Gpo, Loiza Street, Minillas, Old San Juan, Rio Piedras, San Jose, Santurce, Santurce Station, 65th Infantry",PR,San Juan Municipio,18.4,-66.07
00937,PO BOX,San Juan,NA,PR,San Juan,18.4,-66.06
00939,UNIQUE,San Juan,NA,PR,San Juan,18.4,-66.06
00940,PO BOX,San Juan,"Minillas, Santurce",PR,NA,18.4,-66.06
00949,STANDARD,Toa Baja,Levittown,PR,Toa Baja Municipio,18.44,-66.25
00950,PO BOX,Toa Baja,NA,PR,Dorado Municipio,18.46,-66.23
00951,PO BOX,Toa Baja,NA,PR,Toa Baja Municipio,18.43,-66.25
00952,STANDARD,Sabana Seca,NA,PR,Toa Baja Municipio,18.42,-66.19
00953,STANDARD,Toa Alta,NA,PR,Toa Alta Municipio,18.39,-66.25
00954,PO BOX,Toa Alta,NA,PR,Toa Alta,18.39,-66.25
00955,PO BOX,San Juan,NA,PR,San Juan,18.4,-66.06
00956,STANDARD,Bayamon,NA,PR,Bayamon Municipio,18.32,-66.17
00957,STANDARD,Bayamon,NA,PR,Bayamon Municipio,18.37,-66.19
00958,PO BOX,Bayamon,NA,PR,Bayamon,18.28,-66.13
00959,STANDARD,Bayamon,NA,PR,Bayamon Municipio,18.39,-66.15
00960,PO BOX,Bayamon,NA,PR,Bayamon Municipio,18.42,-66.15
00961,STANDARD,Bayamon,NA,PR,Bayamon Municipio,18.41,-66.17
00962,STANDARD,Catano,NA,PR,Catano Municipio,18.44,-66.15
00963,PO BOX,Catano,NA,PR,Catano,18.43,-66.11
00965,STANDARD,Guaynabo,NA,PR,Guaynabo Municipio,18.43,-66.11
00966,STANDARD,Guaynabo,NA,PR,Guaynabo Municipio,18.4,-66.12
00968,STANDARD,Guaynabo,NA,PR,Guaynabo Municipio,18.41,-66.1
00969,STANDARD,Guaynabo,NA,PR,Guaynabo Municipio,18.38,-66.11
00970,PO BOX,Guaynabo,NA,PR,NA,18.38,-66.11
00971,STANDARD,Guaynabo,NA,PR,Guaynabo Municipio,18.32,-66.12
00975,UNIQUE,San Juan,NA,PR,San Juan,18.4,-66.06
00976,STANDARD,Trujillo Alto,NA,PR,Trujillo Alto Municipio,18.36,-66.01
00977,PO BOX,Trujillo Alto,NA,PR,NA,18.36,-66.01
00978,PO BOX,Saint Just,NA,PR,San Juan,18.37,-66.01
00979,STANDARD,Carolina,NA,PR,Carolina Municipio,18.44,-66.03
00981,PO BOX,Carolina,NA,PR,Carolina,18.4,-65.98
00982,STANDARD,Carolina,NA,PR,Carolina Municipio,18.41,-65.99
00983,STANDARD,Carolina,NA,PR,Carolina Municipio,18.4,-65.98
00984,PO BOX,Carolina,NA,PR,Carolina,18.4,-65.98
00985,STANDARD,Carolina,NA,PR,Carolina Municipio,18.41,-65.95
00986,PO BOX,Carolina,NA,PR,Carolina,18.4,-65.98
00987,STANDARD,Carolina,NA,PR,Carolina Municipio,18.34,-65.94
00988,PO BOX,Carolina,NA,PR,Carolina,18.4,-65.98
01001,STANDARD,Agawam,NA,MA,Hampden County,42.06,-72.61
01002,STANDARD,Amherst,"Cushman, Pelham",MA,Hampshire County,42.37,-72.52
01003,PO BOX,Amherst,NA,MA,Hampshire County,42.39,-72.52
01004,PO BOX,Amherst,NA,MA,Hampshire County,42.37,-72.52
01005,STANDARD,Barre,NA,MA,Worcester County,42.42,-72.1
01007,STANDARD,Belchertown,NA,MA,Hampshire County,42.27,-72.4
01008,STANDARD,Blandford,NA,MA,Hampden County,42.18,-72.93
01009,PO BOX,Bondsville,NA,MA,Hampden County,42.2,-72.34
01010,STANDARD,Brimfield,NA,MA,Hampden County,42.11,-72.2
01011,STANDARD,Chester,NA,MA,Hampden County,42.28,-72.98
01012,STANDARD,Chesterfield,NA,MA,Hampshire County,42.4,-72.85
01013,STANDARD,Chicopee,Willimansett,MA,Hampden County,42.15,-72.6
01014,PO BOX,Chicopee,NA,MA,Hampden County,42.17,-72.57
01020,STANDARD,Chicopee,NA,MA,Hampden County,42.17,-72.57
01021,PO BOX,Chicopee,NA,MA,Hampden County,42.17,-72.57
01022,STANDARD,Chicopee,Westover Afb,MA,Hampden County,42.2,-72.54
01026,STANDARD,Cummington,NA,MA,Hampshire County,42.46,-72.9
01027,STANDARD,Easthampton,"E Hampton, Mount Tom, Westhampton",MA,Hampshire County,42.26,-72.68
01028,STANDARD,East Longmeadow,E Longmeadow,MA,Hampden County,42.06,-72.51
01029,PO BOX,East Otis,NA,MA,Berkshire County,42.17,-73.03
01030,STANDARD,Feeding Hills,NA,MA,Hampden County,42.06,-72.67
01031,STANDARD,Gilbertville,NA,MA,Worcester County,42.33,-72.2
01032,STANDARD,Goshen,NA,MA,Hampshire County,42.46,-72.81
01033,STANDARD,Granby,NA,MA,Hampshire County,42.26,-72.52
01034,STANDARD,Granville,Tolland,MA,Hampden County,42.06,-72.86
01035,STANDARD,Hadley,NA,MA,Hampshire County,42.35,-72.58
01036,STANDARD,Hampden,NA,MA,Hampden County,42.06,-72.41
01037,PO BOX,Hardwick,NA,MA,Worcester County,42.35,-72.2
01038,STANDARD,Hatfield,NA,MA,Hampshire County,42.37,-72.6
01039,STANDARD,Haydenville,West Whately,MA,Hampshire County,42.39,-72.7
01040,STANDARD,Holyoke,NA,MA,Hampden County,42.21,-72.64
01041,PO BOX,Holyoke,NA,MA,Hampden County,42.21,-72.64
01050,STANDARD,Huntington,Montgomery,MA,Hampshire County,42.23,-72.88
01053,STANDARD,Leeds,NA,MA,Hampshire County,42.35,-72.71
01054,STANDARD,Leverett,NA,MA,Franklin County,42.45,-72.5
01056,STANDARD,Ludlow,NA,MA,Hampden County,42.16,-72.48
01057,STANDARD,Monson,NA,MA,Hampden County,42.09,-72.31
01059,PO BOX,North Amherst,Amherst,MA,Hampshire County,42.4,-72.52
01060,STANDARD,Northampton,NA,MA,Hampshire County,42.32,-72.63
01061,PO BOX,Northampton,NA,MA,Hampshire County,42.32,-72.67
01062,STANDARD,Florence,"Bay State Village, Bay State Vlg, Northampton",MA,Hampshire County,42.32,-72.67
01063,UNIQUE,Northampton,NA,MA,Hampshire County,42.32,-72.64
01066,PO BOX,North Hatfield,N Hatfield,MA,Hampshire County,42.41,-72.66
01068,STANDARD,Oakham,NA,MA,Worcester County,42.35,-72.05
01069,STANDARD,Palmer,NA,MA,Hampden County,42.16,-72.32
01070,STANDARD,Plainfield,NA,MA,Hampshire County,42.51,-72.91
01071,STANDARD,Russell,NA,MA,Hampden County,42.18,-72.85
01072,STANDARD,Shutesbury,NA,MA,Franklin County,42.45,-72.4
01073,STANDARD,Southampton,NA,MA,Hampshire County,42.23,-72.73
01074,PO BOX,South Barre,NA,MA,Worcester County,42.39,-72.09
01075,STANDARD,South Hadley,NA,MA,Hampshire County,42.26,-72.56
01077,STANDARD,Southwick,NA,MA,Hampden County,42.05,-72.76
01079,PO BOX,Thorndike,NA,MA,Hampden County,42.2,-72.33
01080,STANDARD,Three Rivers,NA,MA,Hampden County,42.18,-72.37
01081,STANDARD,Wales,NA,MA,Hampden County,42.06,-72.21
01082,STANDARD,Ware,Hardwick,MA,Hampshire County,42.25,-72.24
01083,PO BOX,Warren,NA,MA,Worcester County,42.21,-72.19
01084,STANDARD,West Chesterfield,W Chesterfld,MA,Hampshire County,42.39,-72.88
01085,STANDARD,Westfield,Montgomery,MA,Hampden County,42.13,-72.75
01086,PO BOX,Westfield,NA,MA,Hampden County,42.13,-72.79
01088,STANDARD,West Hatfield,W Hatfield,MA,Hampshire County,42.39,-72.64
01089,STANDARD,West Springfield,W Springfield,MA,Hampden County,42.12,-72.65
01090,PO BOX,West Springfield,W Springfield,MA,Hampden County,42.12,-72.65
01092,PO BOX,West Warren,NA,MA,Worcester County,42.19,-72.24
01093,PO BOX,Whately,NA,MA,Franklin County,42.44,-72.65
01094,PO BOX,Wheelwright,NA,MA,Worcester County,42.35,-72.14
01095,STANDARD,Wilbraham,NA,MA,Hampden County,42.13,-72.43
01096,STANDARD,Williamsburg,NA,MA,Hampshire County,42.4,-72.76
01097,PO BOX,Woronoco,NA,MA,Hampden County,42.18,-72.83
01098,STANDARD,Worthington,NA,MA,Hampshire County,42.41,-72.93
01101,PO BOX,Springfield,NA,MA,Hampden County,42.11,-72.53
01102,PO BOX,Springfield,NA,MA,Hampden County,42.11,-72.53
01103,STANDARD,Springfield,NA,MA,Hampden County,42.1,-72.59
01104,STANDARD,Springfield,NA,MA,Hampden County,42.13,-72.57
01105,STANDARD,Springfield,NA,MA,Hampden County,42.1,-72.58
01106,STANDARD,Longmeadow,"Spfld, Springfield",MA,Hampden County,42.04,-72.57
01107,STANDARD,Springfield,NA,MA,Hampden County,42.12,-72.61
01108,STANDARD,Springfield,NA,MA,Hampden County,42.08,-72.56
01109,STANDARD,Springfield,NA,MA,Hampden County,42.11,-72.53
01111,UNIQUE,Springfield,NA,MA,Hampden County,42.11,-72.53
01115,PO BOX,Springfield,NA,MA,Hampden County,42.11,-72.53
01116,PO BOX,Longmeadow,"E Longmeadow, East Longmeadow",MA,Hampden County,42.04,-72.57
01118,STANDARD,Springfield,NA,MA,Hampden County,42.09,-72.53
01119,STANDARD,Springfield,NA,MA,Hampden County,42.12,-72.51
01128,STANDARD,Springfield,NA,MA,Hampden County,42.09,-72.49
01129,STANDARD,Springfield,NA,MA,Hampden County,42.12,-72.49
01133,UNIQUE,Springfield,NA,MA,Hampden County,42.1,-72.59
01138,PO BOX,Springfield,NA,MA,Hampden County,42.11,-72.53
01139,PO BOX,Springfield,NA,MA,Hampden County,42.11,-72.53
01144,STANDARD,Springfield,NA,MA,Hampden County,42.11,-72.53
01151,STANDARD,Indian Orchard,"Indian Orch, Springfield",MA,Hampden County,42.15,-72.51
01152,STANDARD,Springfield,NA,MA,Hampden County,42.11,-72.53
01195,STANDARD,Springfield,Springfield Bmc,MA,Hampden County,42.1,-72.58
01199,UNIQUE,Springfield,NA,MA,Hampden County,42.12,-72.6
01201,STANDARD,Pittsfield,NA,MA,Berkshire County,42.45,-73.26
01202,PO BOX,Pittsfield,NA,MA,Berkshire County,42.45,-73.26
01203,PO BOX,Pittsfield,NA,MA,Berkshire County,42.45,-73.26
01220,STANDARD,Adams,NA,MA,Berkshire County,42.62,-73.11
01222,STANDARD,Ashley Falls,NA,MA,Berkshire County,42.05,-73.33
01223,STANDARD,Becket,Washington,MA,Berkshire County,42.33,-73.07
01224,STANDARD,Berkshire,Lanesboro,MA,Berkshire County,42.51,-73.2
01225,STANDARD,Cheshire,NA,MA,Berkshire County,42.55,-73.15
01226,STANDARD,Dalton,NA,MA,Berkshire County,42.47,-73.16
01227,PO BOX,Dalton,NA,MA,Berkshire County,42.47,-73.16
01229,PO BOX,Glendale,NA,MA,Berkshire County,42.28,-73.34
01230,STANDARD,Great Barrington,"Egremont, Gt Barrington, N Egremont, New Marlboro, New Marlborou, New Marlborough, North Egremont, Simons Rock",MA,Berkshire County,42.19,-73.35
01235,STANDARD,Hinsdale,Peru,MA,Berkshire County,42.42,-73.07
01236,STANDARD,Housatonic,NA,MA,Berkshire County,42.27,-73.38
01237,STANDARD,Lanesboro,"Hancock, New Ashford",MA,Berkshire County,42.51,-73.22
01238,STANDARD,Lee,NA,MA,Berkshire County,42.3,-73.25
01240,STANDARD,Lenox,NA,MA,Berkshire County,42.35,-73.28
01242,PO BOX,Lenox Dale,NA,MA,Berkshire County,42.33,-73.25
01243,PO BOX,Middlefield,NA,MA,Hampshire County,42.35,-73.01
01244,PO BOX,Mill River,NA,MA,Berkshire County,42.12,-73.26
01245,STANDARD,Monterey,West Otis,MA,Berkshire County,42.18,-73.21
01247,STANDARD,North Adams,"Clarksburg, Florida",MA,Berkshire County,42.68,-73.11
01252,PO BOX,North Egremont,N Egremont,MA,Berkshire County,42.17,-73.44
01253,STANDARD,Otis,NA,MA,Berkshire County,42.21,-73.11
01254,STANDARD,Richmond,NA,MA,Berkshire County,42.37,-73.36
01255,STANDARD,Sandisfield,NA,MA,Berkshire County,42.11,-73.13
01256,STANDARD,Savoy,NA,MA,Berkshire County,42.56,-73.02
01257,STANDARD,Sheffield,NA,MA,Berkshire County,42.1,-73.34
01258,STANDARD,South Egremont,"Mount Washington, Mt Washington, S Egremont",MA,Berkshire County,42.11,-73.46
01259,STANDARD,Southfield,NA,MA,Berkshire County,42.07,-73.23
01260,PO BOX,South Lee,NA,MA,Berkshire County,42.3,-73.34
01262,PO BOX,Stockbridge,NA,MA,Berkshire County,42.3,-73.32
01263,UNIQUE,Stockbridge,NA,MA,Berkshire County,42.3,-73.32
01264,PO BOX,Tyringham,Lee,MA,Berkshire County,42.24,-73.19
01266,STANDARD,West Stockbridge,"Alford, W Stockbridge",MA,Berkshire County,42.31,-73.39
01267,STANDARD,Williamstown,NA,MA,Berkshire County,42.7,-73.2
01270,STANDARD,Windsor,NA,MA,Berkshire County,42.51,-73.04
01301,STANDARD,Greenfield,Leyden,MA,Franklin County,42.58,-72.59
01302,PO BOX,Greenfield,NA,MA,Franklin County,42.58,-72.59
01330,STANDARD,Ashfield,NA,MA,Franklin County,42.53,-72.78
01331,STANDARD,Athol,Phillipston,MA,Worcester County,42.59,-72.23
01337,STANDARD,Bernardston,Leyden,MA,Franklin County,42.66,-72.55
01338,STANDARD,Buckland,NA,MA,Franklin County,42.57,-72.82
01339,STANDARD,Charlemont,Hawley,MA,Franklin County,42.63,-72.88
01340,STANDARD,Colrain,Shattuckville,MA,Franklin County,42.66,-72.68
01341,STANDARD,Conway,NA,MA,Franklin County,42.51,-72.68
01342,STANDARD,Deerfield,NA,MA,Franklin County,42.55,-72.6
01343,STANDARD,Drury,NA,MA,Berkshire County,42.66,-72.98
01344,STANDARD,Erving,NA,MA,Franklin County,42.6,-72.4
01346,STANDARD,Heath,Charlemont,MA,Franklin County,42.66,-72.83
01347,PO BOX,Lake Pleasant,NA,MA,Franklin County,42.56,-72.52
01349,STANDARD,Millers Falls,NA,MA,Franklin County,42.56,-72.48
01350,PO BOX,Monroe Bridge,Monroe,MA,Franklin County,42.72,-72.98
01351,STANDARD,Montague,NA,MA,Franklin County,42.53,-72.53
01354,STANDARD,Gill,"Mount Hermon, Mt Hermon, Northfield Mount Hermon, Northfield Mt Hermon",MA,Franklin County,42.62,-72.51
01355,STANDARD,New Salem,NA,MA,Franklin County,42.5,-72.33
01360,STANDARD,Northfield,NA,MA,Franklin County,42.7,-72.43
01364,STANDARD,Orange,Warwick,MA,Franklin County,42.59,-72.3
01366,STANDARD,Petersham,NA,MA,Worcester County,42.48,-72.18
01367,STANDARD,Rowe,NA,MA,Franklin County,42.7,-72.9
01368,STANDARD,Royalston,S Royalston,MA,Worcester County,42.68,-72.18
01370,STANDARD,Shelburne Falls,Shelburne Fls,MA,Franklin County,42.6,-72.74
01373,STANDARD,South Deerfield,S Deerfield,MA,Franklin County,42.47,-72.59
01375,STANDARD,Sunderland,NA,MA,Franklin County,42.46,-72.58
01376,STANDARD,Turners Falls,NA,MA,Franklin County,42.59,-72.55
