County,State,variable,estimate,Sex,Age,HI_Coverage
Benton, Indiana,B27001_005,41,Male,Under 6 years,No
Benton, Indiana,B27001_007,660,Male,6 to 18 years,Yes
Benton, Indiana,B27001_008,111,Male,6 to 18 years,No
Benton, Indiana,B27001_010,289,Male,19 to 25 years,Yes
Benton, Indiana,B27001_011,61,Male,19 to 25 years,No
Benton, Indiana,B27001_013,366,Male,26 to 34 years,Yes
Benton, Indiana,B27001_014,88,Male,26 to 34 years,No
Benton, Indiana,B27001_016,404,Male,35 to 44 years,Yes
Benton, Indiana,B27001_017,74,Male,35 to 44 years,No
Benton, Indiana,B27001_019,475,Male,45 to 54 years,Yes
Benton, Indiana,B27001_020,97,Male,45 to 54 years,No
Benton, Indiana,B27001_022,532,Male,55 to 64 years,Yes
Benton, Indiana,B27001_023,56,Male,55 to 64 years,No
Benton, Indiana,B27001_025,404,Male,65 to 74 years,Yes
Benton, Indiana,B27001_026,0,Male,65 to 74 years,No
Benton, Indiana,B27001_028,237,Male,75 years and over,Yes
Benton, Indiana,B27001_029,0,Male,75 years and over,No
Benton, Indiana,B27001_032,290,Female,Under 6 years,Yes
Benton, Indiana,B27001_033,8,Female,Under 6 years,No
Benton, Indiana,B27001_035,752,Female,6 to 18 years,Yes
Benton, Indiana,B27001_036,25,Female,6 to 18 years,No
Benton, Indiana,B27001_038,275,Female,19 to 25 years,Yes
Benton, Indiana,B27001_039,37,Female,19 to 25 years,No
Benton, Indiana,B27001_041,304,Female,26 to 34 years,Yes
Benton, Indiana,B27001_042,76,Female,26 to 34 years,No
Benton, Indiana,B27001_044,426,Female,35 to 44 years,Yes
Benton, Indiana,B27001_045,107,Female,35 to 44 years,No
Benton, Indiana,B27001_047,489,Female,45 to 54 years,Yes
Benton, Indiana,B27001_048,83,Female,45 to 54 years,No
Benton, Indiana,B27001_050,602,Female,55 to 64 years,Yes
Benton, Indiana,B27001_051,26,Female,55 to 64 years,No
Benton, Indiana,B27001_053,432,Female,65 to 74 years,Yes
Benton, Indiana,B27001_054,0,Female,65 to 74 years,No
Benton, Indiana,B27001_056,361,Female,75 years and over,Yes
Benton, Indiana,B27001_057,0,Female,75 years and over,No
Blackford, Indiana,B27001_004,380,Male,Under 6 years,Yes
Blackford, Indiana,B27001_005,13,Male,Under 6 years,No
Blackford, Indiana,B27001_007,962,Male,6 to 18 years,Yes
Blackford, Indiana,B27001_008,60,Male,6 to 18 years,No
Blackford, Indiana,B27001_010,454,Male,19 to 25 years,Yes
Blackford, Indiana,B27001_011,73,Male,19 to 25 years,No
Blackford, Indiana,B27001_013,491,Male,26 to 34 years,Yes
Blackford, Indiana,B27001_014,81,Male,26 to 34 years,No
Blackford, Indiana,B27001_016,516,Male,35 to 44 years,Yes
Blackford, Indiana,B27001_017,96,Male,35 to 44 years,No
Blackford, Indiana,B27001_019,792,Male,45 to 54 years,Yes
Blackford, Indiana,B27001_020,44,Male,45 to 54 years,No
Blackford, Indiana,B27001_022,816,Male,55 to 64 years,Yes
Blackford, Indiana,B27001_023,75,Male,55 to 64 years,No
Blackford, Indiana,B27001_025,683,Male,65 to 74 years,Yes
Blackford, Indiana,B27001_026,0,Male,65 to 74 years,No
Blackford, Indiana,B27001_028,411,Male,75 years and over,Yes
Blackford, Indiana,B27001_029,0,Male,75 years and over,No
Blackford, Indiana,B27001_032,387,Female,Under 6 years,Yes
Blackford, Indiana,B27001_033,0,Female,Under 6 years,No
Blackford, Indiana,B27001_035,824,Female,6 to 18 years,Yes
Blackford, Indiana,B27001_036,64,Female,6 to 18 years,No
Blackford, Indiana,B27001_038,401,Female,19 to 25 years,Yes
Blackford, Indiana,B27001_039,46,Female,19 to 25 years,No
Blackford, Indiana,B27001_041,483,Female,26 to 34 years,Yes
Blackford, Indiana,B27001_042,67,Female,26 to 34 years,No
Blackford, Indiana,B27001_044,599,Female,35 to 44 years,Yes
Blackford, Indiana,B27001_045,56,Female,35 to 44 years,No
Blackford, Indiana,B27001_047,753,Female,45 to 54 years,Yes
Blackford, Indiana,B27001_048,74,Female,45 to 54 years,No
Blackford, Indiana,B27001_050,845,Female,55 to 64 years,Yes
Blackford, Indiana,B27001_051,87,Female,55 to 64 years,No
Blackford, Indiana,B27001_053,703,Female,65 to 74 years,Yes
Blackford, Indiana,B27001_054,0,Female,65 to 74 years,No
Blackford, Indiana,B27001_056,633,Female,75 years and over,Yes
Blackford, Indiana,B27001_057,0,Female,75 years and over,No
Boone, Indiana,B27001_004,2637,Male,Under 6 years,Yes
Boone, Indiana,B27001_005,68,Male,Under 6 years,No
Boone, Indiana,B27001_007,6528,Male,6 to 18 years,Yes
Boone, Indiana,B27001_008,140,Male,6 to 18 years,No
Boone, Indiana,B27001_010,2014,Male,19 to 25 years,Yes
Boone, Indiana,B27001_011,350,Male,19 to 25 years,No
Boone, Indiana,B27001_013,2812,Male,26 to 34 years,Yes
Boone, Indiana,B27001_014,368,Male,26 to 34 years,No
Boone, Indiana,B27001_016,3904,Male,35 to 44 years,Yes
Boone, Indiana,B27001_017,279,Male,35 to 44 years,No
Boone, Indiana,B27001_019,4470,Male,45 to 54 years,Yes
Boone, Indiana,B27001_020,340,Male,45 to 54 years,No
Boone, Indiana,B27001_022,3850,Male,55 to 64 years,Yes
Boone, Indiana,B27001_023,155,Male,55 to 64 years,No
Boone, Indiana,B27001_025,2232,Male,65 to 74 years,Yes
Boone, Indiana,B27001_026,24,Male,65 to 74 years,No
Boone, Indiana,B27001_028,1259,Male,75 years and over,Yes
Boone, Indiana,B27001_029,0,Male,75 years and over,No
Boone, Indiana,B27001_032,2587,Female,Under 6 years,Yes
Boone, Indiana,B27001_033,144,Female,Under 6 years,No
Boone, Indiana,B27001_035,5600,Female,6 to 18 years,Yes
Boone, Indiana,B27001_036,388,Female,6 to 18 years,No
Boone, Indiana,B27001_038,1989,Female,19 to 25 years,Yes
Boone, Indiana,B27001_039,223,Female,19 to 25 years,No
Boone, Indiana,B27001_041,3208,Female,26 to 34 years,Yes
Boone, Indiana,B27001_042,253,Female,26 to 34 years,No
Boone, Indiana,B27001_044,4244,Female,35 to 44 years,Yes
Boone, Indiana,B27001_045,246,Female,35 to 44 years,No
Boone, Indiana,B27001_047,4647,Female,45 to 54 years,Yes
Boone, Indiana,B27001_048,227,Female,45 to 54 years,No
Boone, Indiana,B27001_050,3966,Female,55 to 64 years,Yes
Boone, Indiana,B27001_051,199,Female,55 to 64 years,No
Boone, Indiana,B27001_053,2511,Female,65 to 74 years,Yes
Boone, Indiana,B27001_054,2,Female,65 to 74 years,No
Boone, Indiana,B27001_056,1764,Female,75 years and over,Yes
Boone, Indiana,B27001_057,0,Female,75 years and over,No
Brown, Indiana,B27001_004,374,Male,Under 6 years,Yes
Brown, Indiana,B27001_005,28,Male,Under 6 years,No
Brown, Indiana,B27001_007,954,Male,6 to 18 years,Yes
Brown, Indiana,B27001_008,66,Male,6 to 18 years,No
Brown, Indiana,B27001_010,374,Male,19 to 25 years,Yes
Brown, Indiana,B27001_011,141,Male,19 to 25 years,No
Brown, Indiana,B27001_013,533,Male,26 to 34 years,Yes
Brown, Indiana,B27001_014,147,Male,26 to 34 years,No
Brown, Indiana,B27001_016,628,Male,35 to 44 years,Yes
Brown, Indiana,B27001_017,208,Male,35 to 44 years,No
Brown, Indiana,B27001_019,879,Male,45 to 54 years,Yes
Brown, Indiana,B27001_020,159,Male,45 to 54 years,No
Brown, Indiana,B27001_022,1140,Male,55 to 64 years,Yes
Brown, Indiana,B27001_023,155,Male,55 to 64 years,No
Brown, Indiana,B27001_025,1096,Male,65 to 74 years,Yes
Brown, Indiana,B27001_026,0,Male,65 to 74 years,No
Brown, Indiana,B27001_028,509,Male,75 years and over,Yes
Brown, Indiana,B27001_029,0,Male,75 years and over,No
Brown, Indiana,B27001_032,381,Female,Under 6 years,Yes
Brown, Indiana,B27001_033,0,Female,Under 6 years,No
Brown, Indiana,B27001_035,893,Female,6 to 18 years,Yes
Brown, Indiana,B27001_036,125,Female,6 to 18 years,No
Brown, Indiana,B27001_038,389,Female,19 to 25 years,Yes
Brown, Indiana,B27001_039,110,Female,19 to 25 years,No
Brown, Indiana,B27001_041,439,Female,26 to 34 years,Yes
Brown, Indiana,B27001_042,156,Female,26 to 34 years,No
Brown, Indiana,B27001_044,563,Female,35 to 44 years,Yes
Brown, Indiana,B27001_045,174,Female,35 to 44 years,No
Brown, Indiana,B27001_047,997,Female,45 to 54 years,Yes
Brown, Indiana,B27001_048,81,Female,45 to 54 years,No
Brown, Indiana,B27001_050,1304,Female,55 to 64 years,Yes
Brown, Indiana,B27001_051,126,Female,55 to 64 years,No
Brown, Indiana,B27001_053,1152,Female,65 to 74 years,Yes
Brown, Indiana,B27001_054,0,Female,65 to 74 years,No
Brown, Indiana,B27001_056,621,Female,75 years and over,Yes
Brown, Indiana,B27001_057,0,Female,75 years and over,No
Carroll, Indiana,B27001_004,634,Male,Under 6 years,Yes
Carroll, Indiana,B27001_005,124,Male,Under 6 years,No
Carroll, Indiana,B27001_007,1719,Male,6 to 18 years,Yes
Carroll, Indiana,B27001_008,127,Male,6 to 18 years,No
Carroll, Indiana,B27001_010,554,Male,19 to 25 years,Yes
Carroll, Indiana,B27001_011,132,Male,19 to 25 years,No
Carroll, Indiana,B27001_013,743,Male,26 to 34 years,Yes
Carroll, Indiana,B27001_014,163,Male,26 to 34 years,No
Carroll, Indiana,B27001_016,1063,Male,35 to 44 years,Yes
Carroll, Indiana,B27001_017,185,Male,35 to 44 years,No
Carroll, Indiana,B27001_019,1183,Male,45 to 54 years,Yes
Carroll, Indiana,B27001_020,165,Male,45 to 54 years,No
Carroll, Indiana,B27001_022,1356,Male,55 to 64 years,Yes
Carroll, Indiana,B27001_023,149,Male,55 to 64 years,No
Carroll, Indiana,B27001_025,1051,Male,65 to 74 years,Yes
Carroll, Indiana,B27001_026,0,Male,65 to 74 years,No
Carroll, Indiana,B27001_028,619,Male,75 years and over,Yes
Carroll, Indiana,B27001_029,0,Male,75 years and over,No
Carroll, Indiana,B27001_032,525,Female,Under 6 years,Yes
Carroll, Indiana,B27001_033,130,Female,Under 6 years,No
Carroll, Indiana,B27001_035,1435,Female,6 to 18 years,Yes
Carroll, Indiana,B27001_036,159,Female,6 to 18 years,No
Carroll, Indiana,B27001_038,620,Female,19 to 25 years,Yes
Carroll, Indiana,B27001_039,71,Female,19 to 25 years,No
Carroll, Indiana,B27001_041,789,Female,26 to 34 years,Yes
Carroll, Indiana,B27001_042,161,Female,26 to 34 years,No
Carroll, Indiana,B27001_044,1028,Female,35 to 44 years,Yes
Carroll, Indiana,B27001_045,210,Female,35 to 44 years,No
Carroll, Indiana,B27001_047,1108,Female,45 to 54 years,Yes
Carroll, Indiana,B27001_048,176,Female,45 to 54 years,No
Carroll, Indiana,B27001_050,1377,Female,55 to 64 years,Yes
Carroll, Indiana,B27001_051,104,Female,55 to 64 years,No
Carroll, Indiana,B27001_053,1145,Female,65 to 74 years,Yes
Carroll, Indiana,B27001_054,0,Female,65 to 74 years,No
Carroll, Indiana,B27001_056,877,Female,75 years and over,Yes
Carroll, Indiana,B27001_057,0,Female,75 years and over,No
Cass, Indiana,B27001_004,1348,Male,Under 6 years,Yes
Cass, Indiana,B27001_005,117,Male,Under 6 years,No
Cass, Indiana,B27001_007,3080,Male,6 to 18 years,Yes
Cass, Indiana,B27001_008,222,Male,6 to 18 years,No
Cass, Indiana,B27001_010,1217,Male,19 to 25 years,Yes
Cass, Indiana,B27001_011,394,Male,19 to 25 years,No
Cass, Indiana,B27001_013,1331,Male,26 to 34 years,Yes
Cass, Indiana,B27001_014,442,Male,26 to 34 years,No
Cass, Indiana,B27001_016,1907,Male,35 to 44 years,Yes
Cass, Indiana,B27001_017,434,Male,35 to 44 years,No
Cass, Indiana,B27001_019,2366,Male,45 to 54 years,Yes
Cass, Indiana,B27001_020,232,Male,45 to 54 years,No
Cass, Indiana,B27001_022,2410,Male,55 to 64 years,Yes
Cass, Indiana,B27001_023,188,Male,55 to 64 years,No
Cass, Indiana,B27001_025,1747,Male,65 to 74 years,Yes
Cass, Indiana,B27001_026,35,Male,65 to 74 years,No
Cass, Indiana,B27001_028,1021,Male,75 years and over,Yes
Cass, Indiana,B27001_029,9,Male,75 years and over,No
Cass, Indiana,B27001_032,1216,Female,Under 6 years,Yes
Cass, Indiana,B27001_033,100,Female,Under 6 years,No
Cass, Indiana,B27001_035,3015,Female,6 to 18 years,Yes
Cass, Indiana,B27001_036,241,Female,6 to 18 years,No
Cass, Indiana,B27001_038,1013,Female,19 to 25 years,Yes
Cass, Indiana,B27001_039,326,Female,19 to 25 years,No
Cass, Indiana,B27001_041,1572,Female,26 to 34 years,Yes
Cass, Indiana,B27001_042,375,Female,26 to 34 years,No
Cass, Indiana,B27001_044,1979,Female,35 to 44 years,Yes
Cass, Indiana,B27001_045,342,Female,35 to 44 years,No
Cass, Indiana,B27001_047,2203,Female,45 to 54 years,Yes
Cass, Indiana,B27001_048,265,Female,45 to 54 years,No
Cass, Indiana,B27001_050,2435,Female,55 to 64 years,Yes
Cass, Indiana,B27001_051,182,Female,55 to 64 years,No
Cass, Indiana,B27001_053,1813,Female,65 to 74 years,Yes
Cass, Indiana,B27001_054,18,Female,65 to 74 years,No
Cass, Indiana,B27001_056,1671,Female,75 years and over,Yes
Cass, Indiana,B27001_057,0,Female,75 years and over,No
Clark, Indiana,B27001_004,4255,Male,Under 6 years,Yes
Clark, Indiana,B27001_005,109,Male,Under 6 years,No
Clark, Indiana,B27001_007,8973,Male,6 to 18 years,Yes
Clark, Indiana,B27001_008,915,Male,6 to 18 years,No
Clark, Indiana,B27001_010,3563,Male,19 to 25 years,Yes
Clark, Indiana,B27001_011,857,Male,19 to 25 years,No
Clark, Indiana,B27001_013,5887,Male,26 to 34 years,Yes
Clark, Indiana,B27001_014,1035,Male,26 to 34 years,No
Clark, Indiana,B27001_016,6591,Male,35 to 44 years,Yes
Clark, Indiana,B27001_017,1005,Male,35 to 44 years,No
Clark, Indiana,B27001_019,6571,Male,45 to 54 years,Yes
Clark, Indiana,B27001_020,1059,Male,45 to 54 years,No
Clark, Indiana,B27001_022,6766,Male,55 to 64 years,Yes
Clark, Indiana,B27001_023,512,Male,55 to 64 years,No
Clark, Indiana,B27001_025,4681,Male,65 to 74 years,Yes
Clark, Indiana,B27001_026,0,Male,65 to 74 years,No
Clark, Indiana,B27001_028,2531,Male,75 years and over,Yes
Clark, Indiana,B27001_029,40,Male,75 years and over,No
Clark, Indiana,B27001_032,4293,Female,Under 6 years,Yes
Clark, Indiana,B27001_033,71,Female,Under 6 years,No
Clark, Indiana,B27001_035,8679,Female,6 to 18 years,Yes
Clark, Indiana,B27001_036,594,Female,6 to 18 years,No
Clark, Indiana,B27001_038,4255,Female,19 to 25 years,Yes
Clark, Indiana,B27001_039,762,Female,19 to 25 years,No
Clark, Indiana,B27001_041,6223,Female,26 to 34 years,Yes
Clark, Indiana,B27001_042,690,Female,26 to 34 years,No
Clark, Indiana,B27001_044,6909,Female,35 to 44 years,Yes
Clark, Indiana,B27001_045,962,Female,35 to 44 years,No
Clark, Indiana,B27001_047,7026,Female,45 to 54 years,Yes
Clark, Indiana,B27001_048,663,Female,45 to 54 years,No
Clark, Indiana,B27001_050,7593,Female,55 to 64 years,Yes
Clark, Indiana,B27001_051,426,Female,55 to 64 years,No
Clark, Indiana,B27001_053,5847,Female,65 to 74 years,Yes
Clark, Indiana,B27001_054,23,Female,65 to 74 years,No
Clark, Indiana,B27001_056,3824,Female,75 years and over,Yes
Clark, Indiana,B27001_057,0,Female,75 years and over,No
Clay, Indiana,B27001_004,783,Male,Under 6 years,Yes
Clay, Indiana,B27001_005,6,Male,Under 6 years,No
Clay, Indiana,B27001_007,2341,Male,6 to 18 years,Yes
Clay, Indiana,B27001_008,39,Male,6 to 18 years,No
Clay, Indiana,B27001_010,788,Male,19 to 25 years,Yes
Clay, Indiana,B27001_011,218,Male,19 to 25 years,No
Clay, Indiana,B27001_013,1130,Male,26 to 34 years,Yes
Clay, Indiana,B27001_014,194,Male,26 to 34 years,No
Clay, Indiana,B27001_016,1403,Male,35 to 44 years,Yes
Clay, Indiana,B27001_017,188,Male,35 to 44 years,No
Clay, Indiana,B27001_019,1654,Male,45 to 54 years,Yes
Clay, Indiana,B27001_020,61,Male,45 to 54 years,No
Clay, Indiana,B27001_022,1767,Male,55 to 64 years,Yes
Clay, Indiana,B27001_023,83,Male,55 to 64 years,No
Clay, Indiana,B27001_025,1242,Male,65 to 74 years,Yes
Clay, Indiana,B27001_026,0,Male,65 to 74 years,No
Clay, Indiana,B27001_028,726,Male,75 years and over,Yes
Clay, Indiana,B27001_029,0,Male,75 years and over,No
Clay, Indiana,B27001_032,884,Female,Under 6 years,Yes
Clay, Indiana,B27001_033,25,Female,Under 6 years,No
Clay, Indiana,B27001_035,2205,Female,6 to 18 years,Yes
Clay, Indiana,B27001_036,33,Female,6 to 18 years,No
Clay, Indiana,B27001_038,955,Female,19 to 25 years,Yes
Clay, Indiana,B27001_039,131,Female,19 to 25 years,No
Clay, Indiana,B27001_041,1188,Female,26 to 34 years,Yes
Clay, Indiana,B27001_042,132,Female,26 to 34 years,No
Clay, Indiana,B27001_044,1453,Female,35 to 44 years,Yes
Clay, Indiana,B27001_045,138,Female,35 to 44 years,No
Clay, Indiana,B27001_047,1694,Female,45 to 54 years,Yes
Clay, Indiana,B27001_048,60,Female,45 to 54 years,No
Clay, Indiana,B27001_050,1792,Female,55 to 64 years,Yes
Clay, Indiana,B27001_051,91,Female,55 to 64 years,No
Clay, Indiana,B27001_053,1329,Female,65 to 74 years,Yes
Clay, Indiana,B27001_054,2,Female,65 to 74 years,No
Clay, Indiana,B27001_056,1073,Female,75 years and over,Yes
Clay, Indiana,B27001_057,0,Female,75 years and over,No
Clinton, Indiana,B27001_004,1240,Male,Under 6 years,Yes
Clinton, Indiana,B27001_005,83,Male,Under 6 years,No
Clinton, Indiana,B27001_007,3016,Male,6 to 18 years,Yes
Clinton, Indiana,B27001_008,227,Male,6 to 18 years,No
Clinton, Indiana,B27001_010,1021,Male,19 to 25 years,Yes
Clinton, Indiana,B27001_011,188,Male,19 to 25 years,No
Clinton, Indiana,B27001_013,1608,Male,26 to 34 years,Yes
Clinton, Indiana,B27001_014,181,Male,26 to 34 years,No
Clinton, Indiana,B27001_016,1476,Male,35 to 44 years,Yes
Clinton, Indiana,B27001_017,416,Male,35 to 44 years,No
Clinton, Indiana,B27001_019,1642,Male,45 to 54 years,Yes
Clinton, Indiana,B27001_020,380,Male,45 to 54 years,No
Clinton, Indiana,B27001_022,1846,Male,55 to 64 years,Yes
Clinton, Indiana,B27001_023,252,Male,55 to 64 years,No
Clinton, Indiana,B27001_025,1294,Male,65 to 74 years,Yes
Clinton, Indiana,B27001_026,0,Male,65 to 74 years,No
Clinton, Indiana,B27001_028,773,Male,75 years and over,Yes
Clinton, Indiana,B27001_029,0,Male,75 years and over,No
Clinton, Indiana,B27001_032,1255,Female,Under 6 years,Yes
Clinton, Indiana,B27001_033,86,Female,Under 6 years,No
Clinton, Indiana,B27001_035,2706,Female,6 to 18 years,Yes
Clinton, Indiana,B27001_036,253,Female,6 to 18 years,No
Clinton, Indiana,B27001_038,1006,Female,19 to 25 years,Yes
Clinton, Indiana,B27001_039,200,Female,19 to 25 years,No
Clinton, Indiana,B27001_041,1479,Female,26 to 34 years,Yes
Clinton, Indiana,B27001_042,300,Female,26 to 34 years,No
Clinton, Indiana,B27001_044,1565,Female,35 to 44 years,Yes
Clinton, Indiana,B27001_045,312,Female,35 to 44 years,No
Clinton, Indiana,B27001_047,1702,Female,45 to 54 years,Yes
Clinton, Indiana,B27001_048,287,Female,45 to 54 years,No
Clinton, Indiana,B27001_050,2021,Female,55 to 64 years,Yes
Clinton, Indiana,B27001_051,155,Female,55 to 64 years,No
Clinton, Indiana,B27001_053,1390,Female,65 to 74 years,Yes
Clinton, Indiana,B27001_054,37,Female,65 to 74 years,No
Clinton, Indiana,B27001_056,1307,Female,75 years and over,Yes
Clinton, Indiana,B27001_057,14,Female,75 years and over,No
Crawford, Indiana,B27001_004,353,Male,Under 6 years,Yes
Crawford, Indiana,B27001_005,3,Male,Under 6 years,No
Crawford, Indiana,B27001_007,876,Male,6 to 18 years,Yes
Crawford, Indiana,B27001_008,62,Male,6 to 18 years,No
Crawford, Indiana,B27001_010,301,Male,19 to 25 years,Yes
Crawford, Indiana,B27001_011,74,Male,19 to 25 years,No
Crawford, Indiana,B27001_013,446,Male,26 to 34 years,Yes
Crawford, Indiana,B27001_014,74,Male,26 to 34 years,No
Crawford, Indiana,B27001_016,520,Male,35 to 44 years,Yes
Crawford, Indiana,B27001_017,85,Male,35 to 44 years,No
