NAME,County,State,variable,estimate,Sex,Age,Public_HI
"Adams County, Illinois",Adams, Illinois,B27003_042,2574,Female,26 to 34 years,No
"Adams County, Illinois",Adams, Illinois,B27003_044,936,Female,35 to 44 years,Yes
"Adams County, Illinois",Adams, Illinois,B27003_045,2758,Female,35 to 44 years,No
"Adams County, Illinois",Adams, Illinois,B27003_047,613,Female,45 to 54 years,Yes
"Adams County, Illinois",Adams, Illinois,B27003_048,3693,Female,45 to 54 years,No
"Adams County, Illinois",Adams, Illinois,B27003_050,825,Female,55 to 64 years,Yes
"Adams County, Illinois",Adams, Illinois,B27003_051,3746,Female,55 to 64 years,No
"Adams County, Illinois",Adams, Illinois,B27003_053,3433,Female,65 to 74 years,Yes
"Adams County, Illinois",Adams, Illinois,B27003_054,57,Female,65 to 74 years,No
"Adams County, Illinois",Adams, Illinois,B27003_056,3099,Female,75 years and over,Yes
"Adams County, Illinois",Adams, Illinois,B27003_057,22,Female,75 years and over,No
"Alexander County, Illinois",Alexander, Illinois,B27003_004,221,Male,Under 6 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27003_005,99,Male,Under 6 years,No
"Alexander County, Illinois",Alexander, Illinois,B27003_007,355,Male,6 to 18 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27003_008,136,Male,6 to 18 years,No
"Alexander County, Illinois",Alexander, Illinois,B27003_010,84,Male,19 to 25 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27003_011,130,Male,19 to 25 years,No
"Alexander County, Illinois",Alexander, Illinois,B27003_013,162,Male,26 to 34 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27003_014,164,Male,26 to 34 years,No
"Alexander County, Illinois",Alexander, Illinois,B27003_016,92,Male,35 to 44 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27003_017,203,Male,35 to 44 years,No
"Alexander County, Illinois",Alexander, Illinois,B27003_019,102,Male,45 to 54 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27003_020,259,Male,45 to 54 years,No
"Alexander County, Illinois",Alexander, Illinois,B27003_022,240,Male,55 to 64 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27003_023,266,Male,55 to 64 years,No
"Alexander County, Illinois",Alexander, Illinois,B27003_025,349,Male,65 to 74 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27003_026,21,Male,65 to 74 years,No
"Alexander County, Illinois",Alexander, Illinois,B27003_028,190,Male,75 years and over,Yes
"Alexander County, Illinois",Alexander, Illinois,B27003_029,0,Male,75 years and over,No
"Alexander County, Illinois",Alexander, Illinois,B27003_032,228,Female,Under 6 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27003_033,42,Female,Under 6 years,No
"Alexander County, Illinois",Alexander, Illinois,B27003_035,483,Female,6 to 18 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27003_036,112,Female,6 to 18 years,No
"Alexander County, Illinois",Alexander, Illinois,B27003_038,135,Female,19 to 25 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27003_039,123,Female,19 to 25 years,No
"Alexander County, Illinois",Alexander, Illinois,B27003_041,155,Female,26 to 34 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27003_042,96,Female,26 to 34 years,No
"Alexander County, Illinois",Alexander, Illinois,B27003_044,272,Female,35 to 44 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27003_045,93,Female,35 to 44 years,No
"Alexander County, Illinois",Alexander, Illinois,B27003_047,163,Female,45 to 54 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27003_048,271,Female,45 to 54 years,No
"Alexander County, Illinois",Alexander, Illinois,B27003_050,221,Female,55 to 64 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27003_051,289,Female,55 to 64 years,No
"Alexander County, Illinois",Alexander, Illinois,B27003_053,419,Female,65 to 74 years,Yes
"Alexander County, Illinois",Alexander, Illinois,B27003_054,19,Female,65 to 74 years,No
"Alexander County, Illinois",Alexander, Illinois,B27003_056,270,Female,75 years and over,Yes
"Alexander County, Illinois",Alexander, Illinois,B27003_057,5,Female,75 years and over,No
"Bond County, Illinois",Bond, Illinois,B27003_004,184,Male,Under 6 years,Yes
"Bond County, Illinois",Bond, Illinois,B27003_005,291,Male,Under 6 years,No
"Bond County, Illinois",Bond, Illinois,B27003_007,418,Male,6 to 18 years,Yes
"Bond County, Illinois",Bond, Illinois,B27003_008,922,Male,6 to 18 years,No
"Bond County, Illinois",Bond, Illinois,B27003_010,125,Male,19 to 25 years,Yes
"Bond County, Illinois",Bond, Illinois,B27003_011,521,Male,19 to 25 years,No
"Bond County, Illinois",Bond, Illinois,B27003_013,102,Male,26 to 34 years,Yes
"Bond County, Illinois",Bond, Illinois,B27003_014,638,Male,26 to 34 years,No
"Bond County, Illinois",Bond, Illinois,B27003_016,103,Male,35 to 44 years,Yes
"Bond County, Illinois",Bond, Illinois,B27003_017,772,Male,35 to 44 years,No
"Bond County, Illinois",Bond, Illinois,B27003_019,267,Male,45 to 54 years,Yes
"Bond County, Illinois",Bond, Illinois,B27003_020,766,Male,45 to 54 years,No
"Bond County, Illinois",Bond, Illinois,B27003_022,205,Male,55 to 64 years,Yes
"Bond County, Illinois",Bond, Illinois,B27003_023,923,Male,55 to 64 years,No
"Bond County, Illinois",Bond, Illinois,B27003_025,721,Male,65 to 74 years,Yes
"Bond County, Illinois",Bond, Illinois,B27003_026,41,Male,65 to 74 years,No
"Bond County, Illinois",Bond, Illinois,B27003_028,466,Male,75 years and over,Yes
"Bond County, Illinois",Bond, Illinois,B27003_029,39,Male,75 years and over,No
"Bond County, Illinois",Bond, Illinois,B27003_032,194,Female,Under 6 years,Yes
"Bond County, Illinois",Bond, Illinois,B27003_033,206,Female,Under 6 years,No
"Bond County, Illinois",Bond, Illinois,B27003_035,492,Female,6 to 18 years,Yes
"Bond County, Illinois",Bond, Illinois,B27003_036,758,Female,6 to 18 years,No
"Bond County, Illinois",Bond, Illinois,B27003_038,213,Female,19 to 25 years,Yes
"Bond County, Illinois",Bond, Illinois,B27003_039,630,Female,19 to 25 years,No
"Bond County, Illinois",Bond, Illinois,B27003_041,181,Female,26 to 34 years,Yes
"Bond County, Illinois",Bond, Illinois,B27003_042,596,Female,26 to 34 years,No
"Bond County, Illinois",Bond, Illinois,B27003_044,152,Female,35 to 44 years,Yes
"Bond County, Illinois",Bond, Illinois,B27003_045,738,Female,35 to 44 years,No
"Bond County, Illinois",Bond, Illinois,B27003_047,157,Female,45 to 54 years,Yes
"Bond County, Illinois",Bond, Illinois,B27003_048,935,Female,45 to 54 years,No
"Bond County, Illinois",Bond, Illinois,B27003_050,210,Female,55 to 64 years,Yes
"Bond County, Illinois",Bond, Illinois,B27003_051,1003,Female,55 to 64 years,No
"Bond County, Illinois",Bond, Illinois,B27003_053,736,Female,65 to 74 years,Yes
"Bond County, Illinois",Bond, Illinois,B27003_054,57,Female,65 to 74 years,No
"Bond County, Illinois",Bond, Illinois,B27003_056,713,Female,75 years and over,Yes
"Bond County, Illinois",Bond, Illinois,B27003_057,0,Female,75 years and over,No
"Boone County, Illinois",Boone, Illinois,B27003_004,950,Male,Under 6 years,Yes
"Boone County, Illinois",Boone, Illinois,B27003_005,1041,Male,Under 6 years,No
"Boone County, Illinois",Boone, Illinois,B27003_007,1576,Male,6 to 18 years,Yes
"Boone County, Illinois",Boone, Illinois,B27003_008,4058,Male,6 to 18 years,No
"Boone County, Illinois",Boone, Illinois,B27003_010,109,Male,19 to 25 years,Yes
"Boone County, Illinois",Boone, Illinois,B27003_011,2010,Male,19 to 25 years,No
"Boone County, Illinois",Boone, Illinois,B27003_013,564,Male,26 to 34 years,Yes
"Boone County, Illinois",Boone, Illinois,B27003_014,2184,Male,26 to 34 years,No
"Boone County, Illinois",Boone, Illinois,B27003_016,204,Male,35 to 44 years,Yes
"Boone County, Illinois",Boone, Illinois,B27003_017,3131,Male,35 to 44 years,No
"Boone County, Illinois",Boone, Illinois,B27003_019,464,Male,45 to 54 years,Yes
"Boone County, Illinois",Boone, Illinois,B27003_020,3416,Male,45 to 54 years,No
"Boone County, Illinois",Boone, Illinois,B27003_022,655,Male,55 to 64 years,Yes
"Boone County, Illinois",Boone, Illinois,B27003_023,2751,Male,55 to 64 years,No
"Boone County, Illinois",Boone, Illinois,B27003_025,2101,Male,65 to 74 years,Yes
"Boone County, Illinois",Boone, Illinois,B27003_026,137,Male,65 to 74 years,No
"Boone County, Illinois",Boone, Illinois,B27003_028,1287,Male,75 years and over,Yes
"Boone County, Illinois",Boone, Illinois,B27003_029,0,Male,75 years and over,No
"Boone County, Illinois",Boone, Illinois,B27003_032,894,Female,Under 6 years,Yes
"Boone County, Illinois",Boone, Illinois,B27003_033,929,Female,Under 6 years,No
"Boone County, Illinois",Boone, Illinois,B27003_035,1589,Female,6 to 18 years,Yes
"Boone County, Illinois",Boone, Illinois,B27003_036,3565,Female,6 to 18 years,No
"Boone County, Illinois",Boone, Illinois,B27003_038,557,Female,19 to 25 years,Yes
"Boone County, Illinois",Boone, Illinois,B27003_039,1727,Female,19 to 25 years,No
"Boone County, Illinois",Boone, Illinois,B27003_041,772,Female,26 to 34 years,Yes
"Boone County, Illinois",Boone, Illinois,B27003_042,1771,Female,26 to 34 years,No
"Boone County, Illinois",Boone, Illinois,B27003_044,379,Female,35 to 44 years,Yes
"Boone County, Illinois",Boone, Illinois,B27003_045,2984,Female,35 to 44 years,No
"Boone County, Illinois",Boone, Illinois,B27003_047,565,Female,45 to 54 years,Yes
"Boone County, Illinois",Boone, Illinois,B27003_048,3461,Female,45 to 54 years,No
"Boone County, Illinois",Boone, Illinois,B27003_050,708,Female,55 to 64 years,Yes
"Boone County, Illinois",Boone, Illinois,B27003_051,2517,Female,55 to 64 years,No
"Boone County, Illinois",Boone, Illinois,B27003_053,2471,Female,65 to 74 years,Yes
"Boone County, Illinois",Boone, Illinois,B27003_054,103,Female,65 to 74 years,No
"Boone County, Illinois",Boone, Illinois,B27003_056,1559,Female,75 years and over,Yes
"Boone County, Illinois",Boone, Illinois,B27003_057,35,Female,75 years and over,No
"Brown County, Illinois",Brown, Illinois,B27003_004,51,Male,Under 6 years,Yes
"Brown County, Illinois",Brown, Illinois,B27003_005,136,Male,Under 6 years,No
"Brown County, Illinois",Brown, Illinois,B27003_007,90,Male,6 to 18 years,Yes
"Brown County, Illinois",Brown, Illinois,B27003_008,236,Male,6 to 18 years,No
"Brown County, Illinois",Brown, Illinois,B27003_010,22,Male,19 to 25 years,Yes
"Brown County, Illinois",Brown, Illinois,B27003_011,206,Male,19 to 25 years,No
"Brown County, Illinois",Brown, Illinois,B27003_013,50,Male,26 to 34 years,Yes
"Brown County, Illinois",Brown, Illinois,B27003_014,249,Male,26 to 34 years,No
"Brown County, Illinois",Brown, Illinois,B27003_016,52,Male,35 to 44 years,Yes
"Brown County, Illinois",Brown, Illinois,B27003_017,235,Male,35 to 44 years,No
"Brown County, Illinois",Brown, Illinois,B27003_019,74,Male,45 to 54 years,Yes
"Brown County, Illinois",Brown, Illinois,B27003_020,291,Male,45 to 54 years,No
"Brown County, Illinois",Brown, Illinois,B27003_022,93,Male,55 to 64 years,Yes
"Brown County, Illinois",Brown, Illinois,B27003_023,243,Male,55 to 64 years,No
"Brown County, Illinois",Brown, Illinois,B27003_025,219,Male,65 to 74 years,Yes
"Brown County, Illinois",Brown, Illinois,B27003_026,0,Male,65 to 74 years,No
"Brown County, Illinois",Brown, Illinois,B27003_028,165,Male,75 years and over,Yes
"Brown County, Illinois",Brown, Illinois,B27003_029,1,Male,75 years and over,No
"Brown County, Illinois",Brown, Illinois,B27003_032,55,Female,Under 6 years,Yes
"Brown County, Illinois",Brown, Illinois,B27003_033,69,Female,Under 6 years,No
"Brown County, Illinois",Brown, Illinois,B27003_035,149,Female,6 to 18 years,Yes
"Brown County, Illinois",Brown, Illinois,B27003_036,292,Female,6 to 18 years,No
"Brown County, Illinois",Brown, Illinois,B27003_038,26,Female,19 to 25 years,Yes
"Brown County, Illinois",Brown, Illinois,B27003_039,112,Female,19 to 25 years,No
"Brown County, Illinois",Brown, Illinois,B27003_041,59,Female,26 to 34 years,Yes
"Brown County, Illinois",Brown, Illinois,B27003_042,230,Female,26 to 34 years,No
"Brown County, Illinois",Brown, Illinois,B27003_044,99,Female,35 to 44 years,Yes
"Brown County, Illinois",Brown, Illinois,B27003_045,206,Female,35 to 44 years,No
"Brown County, Illinois",Brown, Illinois,B27003_047,17,Female,45 to 54 years,Yes
"Brown County, Illinois",Brown, Illinois,B27003_048,289,Female,45 to 54 years,No
"Brown County, Illinois",Brown, Illinois,B27003_050,72,Female,55 to 64 years,Yes
"Brown County, Illinois",Brown, Illinois,B27003_051,257,Female,55 to 64 years,No
"Brown County, Illinois",Brown, Illinois,B27003_053,255,Female,65 to 74 years,Yes
"Brown County, Illinois",Brown, Illinois,B27003_054,8,Female,65 to 74 years,No
"Brown County, Illinois",Brown, Illinois,B27003_056,196,Female,75 years and over,Yes
"Brown County, Illinois",Brown, Illinois,B27003_057,0,Female,75 years and over,No
"Bureau County, Illinois",Bureau, Illinois,B27003_004,610,Male,Under 6 years,Yes
"Bureau County, Illinois",Bureau, Illinois,B27003_005,490,Male,Under 6 years,No
"Bureau County, Illinois",Bureau, Illinois,B27003_007,955,Male,6 to 18 years,Yes
"Bureau County, Illinois",Bureau, Illinois,B27003_008,1821,Male,6 to 18 years,No
"Bureau County, Illinois",Bureau, Illinois,B27003_010,187,Male,19 to 25 years,Yes
"Bureau County, Illinois",Bureau, Illinois,B27003_011,1115,Male,19 to 25 years,No
"Bureau County, Illinois",Bureau, Illinois,B27003_013,284,Male,26 to 34 years,Yes
"Bureau County, Illinois",Bureau, Illinois,B27003_014,1319,Male,26 to 34 years,No
"Bureau County, Illinois",Bureau, Illinois,B27003_016,347,Male,35 to 44 years,Yes
"Bureau County, Illinois",Bureau, Illinois,B27003_017,1486,Male,35 to 44 years,No
"Bureau County, Illinois",Bureau, Illinois,B27003_019,312,Male,45 to 54 years,Yes
"Bureau County, Illinois",Bureau, Illinois,B27003_020,1928,Male,45 to 54 years,No
"Bureau County, Illinois",Bureau, Illinois,B27003_022,384,Male,55 to 64 years,Yes
"Bureau County, Illinois",Bureau, Illinois,B27003_023,1999,Male,55 to 64 years,No
"Bureau County, Illinois",Bureau, Illinois,B27003_025,1752,Male,65 to 74 years,Yes
"Bureau County, Illinois",Bureau, Illinois,B27003_026,41,Male,65 to 74 years,No
"Bureau County, Illinois",Bureau, Illinois,B27003_028,1260,Male,75 years and over,Yes
"Bureau County, Illinois",Bureau, Illinois,B27003_029,0,Male,75 years and over,No
"Bureau County, Illinois",Bureau, Illinois,B27003_032,376,Female,Under 6 years,Yes
"Bureau County, Illinois",Bureau, Illinois,B27003_033,588,Female,Under 6 years,No
"Bureau County, Illinois",Bureau, Illinois,B27003_035,934,Female,6 to 18 years,Yes
"Bureau County, Illinois",Bureau, Illinois,B27003_036,1811,Female,6 to 18 years,No
"Bureau County, Illinois",Bureau, Illinois,B27003_038,360,Female,19 to 25 years,Yes
"Bureau County, Illinois",Bureau, Illinois,B27003_039,884,Female,19 to 25 years,No
"Bureau County, Illinois",Bureau, Illinois,B27003_041,651,Female,26 to 34 years,Yes
"Bureau County, Illinois",Bureau, Illinois,B27003_042,920,Female,26 to 34 years,No
"Bureau County, Illinois",Bureau, Illinois,B27003_044,384,Female,35 to 44 years,Yes
"Bureau County, Illinois",Bureau, Illinois,B27003_045,1476,Female,35 to 44 years,No
"Bureau County, Illinois",Bureau, Illinois,B27003_047,338,Female,45 to 54 years,Yes
"Bureau County, Illinois",Bureau, Illinois,B27003_048,1861,Female,45 to 54 years,No
"Bureau County, Illinois",Bureau, Illinois,B27003_050,388,Female,55 to 64 years,Yes
"Bureau County, Illinois",Bureau, Illinois,B27003_051,2078,Female,55 to 64 years,No
"Bureau County, Illinois",Bureau, Illinois,B27003_053,1854,Female,65 to 74 years,Yes
"Bureau County, Illinois",Bureau, Illinois,B27003_054,69,Female,65 to 74 years,No
"Bureau County, Illinois",Bureau, Illinois,B27003_056,1738,Female,75 years and over,Yes
"Bureau County, Illinois",Bureau, Illinois,B27003_057,10,Female,75 years and over,No
"Calhoun County, Illinois",Calhoun, Illinois,B27003_004,61,Male,Under 6 years,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27003_005,76,Male,Under 6 years,No
"Calhoun County, Illinois",Calhoun, Illinois,B27003_007,158,Male,6 to 18 years,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27003_008,255,Male,6 to 18 years,No
"Calhoun County, Illinois",Calhoun, Illinois,B27003_010,62,Male,19 to 25 years,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27003_011,150,Male,19 to 25 years,No
"Calhoun County, Illinois",Calhoun, Illinois,B27003_013,69,Male,26 to 34 years,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27003_014,101,Male,26 to 34 years,No
"Calhoun County, Illinois",Calhoun, Illinois,B27003_016,76,Male,35 to 44 years,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27003_017,178,Male,35 to 44 years,No
"Calhoun County, Illinois",Calhoun, Illinois,B27003_019,89,Male,45 to 54 years,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27003_020,250,Male,45 to 54 years,No
"Calhoun County, Illinois",Calhoun, Illinois,B27003_022,85,Male,55 to 64 years,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27003_023,304,Male,55 to 64 years,No
"Calhoun County, Illinois",Calhoun, Illinois,B27003_025,274,Male,65 to 74 years,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27003_026,4,Male,65 to 74 years,No
"Calhoun County, Illinois",Calhoun, Illinois,B27003_028,204,Male,75 years and over,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27003_029,0,Male,75 years and over,No
"Calhoun County, Illinois",Calhoun, Illinois,B27003_032,65,Female,Under 6 years,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27003_033,75,Female,Under 6 years,No
"Calhoun County, Illinois",Calhoun, Illinois,B27003_035,115,Female,6 to 18 years,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27003_036,313,Female,6 to 18 years,No
"Calhoun County, Illinois",Calhoun, Illinois,B27003_038,20,Female,19 to 25 years,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27003_039,94,Female,19 to 25 years,No
"Calhoun County, Illinois",Calhoun, Illinois,B27003_041,65,Female,26 to 34 years,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27003_042,130,Female,26 to 34 years,No
"Calhoun County, Illinois",Calhoun, Illinois,B27003_044,44,Female,35 to 44 years,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27003_045,209,Female,35 to 44 years,No
"Calhoun County, Illinois",Calhoun, Illinois,B27003_047,75,Female,45 to 54 years,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27003_048,260,Female,45 to 54 years,No
"Calhoun County, Illinois",Calhoun, Illinois,B27003_050,85,Female,55 to 64 years,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27003_051,259,Female,55 to 64 years,No
"Calhoun County, Illinois",Calhoun, Illinois,B27003_053,286,Female,65 to 74 years,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27003_054,7,Female,65 to 74 years,No
"Calhoun County, Illinois",Calhoun, Illinois,B27003_056,279,Female,75 years and over,Yes
"Calhoun County, Illinois",Calhoun, Illinois,B27003_057,0,Female,75 years and over,No
"Carroll County, Illinois",Carroll, Illinois,B27003_004,140,Male,Under 6 years,Yes
"Carroll County, Illinois",Carroll, Illinois,B27003_005,296,Male,Under 6 years,No
"Carroll County, Illinois",Carroll, Illinois,B27003_007,409,Male,6 to 18 years,Yes
"Carroll County, Illinois",Carroll, Illinois,B27003_008,647,Male,6 to 18 years,No
"Carroll County, Illinois",Carroll, Illinois,B27003_010,58,Male,19 to 25 years,Yes
"Carroll County, Illinois",Carroll, Illinois,B27003_011,511,Male,19 to 25 years,No
"Carroll County, Illinois",Carroll, Illinois,B27003_013,170,Male,26 to 34 years,Yes
"Carroll County, Illinois",Carroll, Illinois,B27003_014,482,Male,26 to 34 years,No
"Carroll County, Illinois",Carroll, Illinois,B27003_016,91,Male,35 to 44 years,Yes
"Carroll County, Illinois",Carroll, Illinois,B27003_017,662,Male,35 to 44 years,No
"Carroll County, Illinois",Carroll, Illinois,B27003_019,173,Male,45 to 54 years,Yes
"Carroll County, Illinois",Carroll, Illinois,B27003_020,711,Male,45 to 54 years,No
"Carroll County, Illinois",Carroll, Illinois,B27003_022,236,Male,55 to 64 years,Yes
"Carroll County, Illinois",Carroll, Illinois,B27003_023,900,Male,55 to 64 years,No
"Carroll County, Illinois",Carroll, Illinois,B27003_025,950,Male,65 to 74 years,Yes
"Carroll County, Illinois",Carroll, Illinois,B27003_026,18,Male,65 to 74 years,No
"Carroll County, Illinois",Carroll, Illinois,B27003_028,658,Male,75 years and over,Yes
"Carroll County, Illinois",Carroll, Illinois,B27003_029,15,Male,75 years and over,No
"Carroll County, Illinois",Carroll, Illinois,B27003_032,131,Female,Under 6 years,Yes
"Carroll County, Illinois",Carroll, Illinois,B27003_033,336,Female,Under 6 years,No
"Carroll County, Illinois",Carroll, Illinois,B27003_035,376,Female,6 to 18 years,Yes
"Carroll County, Illinois",Carroll, Illinois,B27003_036,587,Female,6 to 18 years,No
"Carroll County, Illinois",Carroll, Illinois,B27003_038,89,Female,19 to 25 years,Yes
"Carroll County, Illinois",Carroll, Illinois,B27003_039,425,Female,19 to 25 years,No
"Carroll County, Illinois",Carroll, Illinois,B27003_041,140,Female,26 to 34 years,Yes
"Carroll County, Illinois",Carroll, Illinois,B27003_042,516,Female,26 to 34 years,No
"Carroll County, Illinois",Carroll, Illinois,B27003_044,166,Female,35 to 44 years,Yes
"Carroll County, Illinois",Carroll, Illinois,B27003_045,574,Female,35 to 44 years,No
"Carroll County, Illinois",Carroll, Illinois,B27003_047,220,Female,45 to 54 years,Yes
"Carroll County, Illinois",Carroll, Illinois,B27003_048,697,Female,45 to 54 years,No
"Carroll County, Illinois",Carroll, Illinois,B27003_050,182,Female,55 to 64 years,Yes
"Carroll County, Illinois",Carroll, Illinois,B27003_051,1022,Female,55 to 64 years,No
"Carroll County, Illinois",Carroll, Illinois,B27003_053,966,Female,65 to 74 years,Yes
"Carroll County, Illinois",Carroll, Illinois,B27003_054,28,Female,65 to 74 years,No
"Carroll County, Illinois",Carroll, Illinois,B27003_056,784,Female,75 years and over,Yes
"Carroll County, Illinois",Carroll, Illinois,B27003_057,10,Female,75 years and over,No
"Cass County, Illinois",Cass, Illinois,B27003_004,300,Male,Under 6 years,Yes
"Cass County, Illinois",Cass, Illinois,B27003_005,297,Male,Under 6 years,No
"Cass County, Illinois",Cass, Illinois,B27003_007,382,Male,6 to 18 years,Yes
"Cass County, Illinois",Cass, Illinois,B27003_008,711,Male,6 to 18 years,No
"Cass County, Illinois",Cass, Illinois,B27003_010,61,Male,19 to 25 years,Yes
"Cass County, Illinois",Cass, Illinois,B27003_011,383,Male,19 to 25 years,No
"Cass County, Illinois",Cass, Illinois,B27003_013,84,Male,26 to 34 years,Yes
"Cass County, Illinois",Cass, Illinois,B27003_014,739,Male,26 to 34 years,No
"Cass County, Illinois",Cass, Illinois,B27003_016,186,Male,35 to 44 years,Yes
"Cass County, Illinois",Cass, Illinois,B27003_017,597,Male,35 to 44 years,No
"Cass County, Illinois",Cass, Illinois,B27003_019,176,Male,45 to 54 years,Yes
"Cass County, Illinois",Cass, Illinois,B27003_020,651,Male,45 to 54 years,No
"Cass County, Illinois",Cass, Illinois,B27003_022,205,Male,55 to 64 years,Yes
"Cass County, Illinois",Cass, Illinois,B27003_023,641,Male,55 to 64 years,No
"Cass County, Illinois",Cass, Illinois,B27003_025,486,Male,65 to 74 years,Yes
"Cass County, Illinois",Cass, Illinois,B27003_026,40,Male,65 to 74 years,No
"Cass County, Illinois",Cass, Illinois,B27003_028,367,Male,75 years and over,Yes
"Cass County, Illinois",Cass, Illinois,B27003_029,4,Male,75 years and over,No
"Cass County, Illinois",Cass, Illinois,B27003_032,277,Female,Under 6 years,Yes
"Cass County, Illinois",Cass, Illinois,B27003_033,283,Female,Under 6 years,No
"Cass County, Illinois",Cass, Illinois,B27003_035,429,Female,6 to 18 years,Yes
"Cass County, Illinois",Cass, Illinois,B27003_036,520,Female,6 to 18 years,No
"Cass County, Illinois",Cass, Illinois,B27003_038,175,Female,19 to 25 years,Yes
"Cass County, Illinois",Cass, Illinois,B27003_039,290,Female,19 to 25 years,No
"Cass County, Illinois",Cass, Illinois,B27003_041,249,Female,26 to 34 years,Yes
"Cass County, Illinois",Cass, Illinois,B27003_042,433,Female,26 to 34 years,No
"Cass County, Illinois",Cass, Illinois,B27003_044,173,Female,35 to 44 years,Yes
"Cass County, Illinois",Cass, Illinois,B27003_045,603,Female,35 to 44 years,No
"Cass County, Illinois",Cass, Illinois,B27003_047,161,Female,45 to 54 years,Yes
"Cass County, Illinois",Cass, Illinois,B27003_048,680,Female,45 to 54 years,No
"Cass County, Illinois",Cass, Illinois,B27003_050,151,Female,55 to 64 years,Yes
"Cass County, Illinois",Cass, Illinois,B27003_051,688,Female,55 to 64 years,No
"Cass County, Illinois",Cass, Illinois,B27003_053,548,Female,65 to 74 years,Yes
"Cass County, Illinois",Cass, Illinois,B27003_054,15,Female,65 to 74 years,No
"Cass County, Illinois",Cass, Illinois,B27003_056,535,Female,75 years and over,Yes
"Cass County, Illinois",Cass, Illinois,B27003_057,0,Female,75 years and over,No
